Organisation Code,Organisation Name,Commissioning Region,Organisation Type,Site Code,Site Name,Site Type,Gross internal site floor area (m²),Occupied floor area (m²),NHS estate Occupied Floor Area (%),Site Heated Volume (m³),Site footprint (m²),Site land area (Hectare),Patient occupied floor area (m²),Non-patient occupied floor area (m²),Not functionally suitable - Occupied floor area (%),Not functionally suitable - Patient occupied floor area (%),Un-utilised Space (%),Available beds (No.),Occupied beds (No.),Single bedrooms for patients with en-suite facilities (No.),Single bedrooms for patients without en-suite facilities (No.),Age Profile - 2005 to present (%),Age Profile - 1995 to 2004 (%),Age Profile - 1985 to 1994 (%),Age Profile - 1975 to 1984 (%),Age Profile - 1965 to 1974 (%),Age Profile - 1955 to 1964 (%),Age Profile - 1948 to 1954 (%),Age Profile - pre 1948 (%),Age Profile - Total (must equal 100%) (%),Cost to eradicate High Risk Backlog (£),Cost to eradicate Significant Risk Backlog (£),Cost to eradicate Moderate Risk Backlog (£),Cost to eradicate Low Risk Backlog (£),Risk Adjusted Backlog Cost (£),Number of CHP units operated on the site (No.),Total full load rating of the electrical generator plant (kW),Total fossil energy input to the CHP system/s (kWh),Total thermal energy output of the CHP system/s (kWh),Total electrical energy output of the CHP system/s (kWh),Total exported electricity for the site (kWh),Total exported thermal energy for the site (kWh),Electricity Consumed - Utility (kWh),Gas Consumed - Utility (kWh),Oil Consumed - Utility (kWh),Coal Consumed - Utility (kWh),Electricity Consumed - Local (kWh),Steam Consumed - Local (kWh),Hot Water Consumed - Local (kWh),Electricity Consumed - Renewable (kWh),Non-fossil fuel Consumed - Renewable (kWh),"Total Energy Cost (all energy supplies, utility, local & renewable) (£)",Water volume (including Borehole) (m³),Water and Sewage Cost (£),Total Waste Cost (£),High Temperature Disposal Waste Weight (Tonnes),Non Burn Treatment (Alternative Treatment Plant) Disposal Waste Weight (Tonnes),Landfill Disposal Waste Weight (Tonnes),Waste Electrical and Electronic Equipment (WEEE) Weight (Tonnes),Preparing for re-use volume (Tonnes),Other recovery volume (Tonnes),Waste recycling volume (Tonnes),"Waste recycling, recovery and preparing for re-use cost (£)",Patient/Visitor concession scheme provided (Yes/No),Total parking spaces available (No.),Designated parking spaces available for patients/visitors (No.),Designated disabled parking spaces (No.),Designated parking spaces available for staff (No.),Average fee charged per hour for patient/visitor parking (£),Average fee charged per hour for Staff parking (£),Do you charge for disabled parking (Yes/No/None),Cost of feeding one in-patient per day (patient meal day) (£),Ward food waste - unserved meals (%),Total in-patient main meals requested (No.),Gross cost of in-patient services (£)
5QC,HAMPSHIRE PCT,SOUTH CENTRAL STRATEGIC HEALTH AUTHORITY,PRIMARY CARE TRUST,5QCK6,CHASE COMMUNITY HOSPITAL,COMMUNITY HOSPITAL,250.00,250.00,9.00,650.00,263.00,0.14,187.00,53.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00,183.00,2039.00,79.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,19842.00,70479.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4633.00,125.00,304.00,326.00,0.33,0.00,0.00,0.00,0.00,0.81,0.20,173.00,No,5.00,5.00,0.00,5.00,0.00,0.00,No,0.00,0.00,0.00,0.00
5QC,HAMPSHIRE PCT,SOUTH CENTRAL STRATEGIC HEALTH AUTHORITY,PRIMARY CARE TRUST,5QCQ3,FORDINGBRIDGE HOSPITAL,COMMUNITY HOSPITAL,783.00,570.00,30.00,2036.00,760.00,0.36,471.00,215.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,100.00,0.00,3366.00,51598.00,15519.00,8160.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,58386.00,146464.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9158.00,829.00,3308.00,1799.00,1.61,0.00,0.00,0.00,0.00,3.95,1.20,880.00,No,18.00,17.00,1.00,0.00,0.00,0.00,No,0.00,0.00,0.00,0.00
5QC,HAMPSHIRE PCT,SOUTH CENTRAL STRATEGIC HEALTH AUTHORITY,PRIMARY CARE TRUST,5QCQ6,HYTHE HOSPITAL,COMMUNITY HOSPITAL,326.00,278.00,20.00,873.00,215.00,0.26,145.00,155.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,100.00,0.00,0.00,15540.00,9445.00,1666.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,15373.00,82227.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11170.00,83.00,297.00,1354.00,0.68,0.00,0.00,0.00,0.00,3.11,1.10,716.00,No,17.00,15.00,2.00,0.00,0.00,0.00,No,0.00,0.00,0.00,0.00
5QC,HAMPSHIRE PCT,SOUTH CENTRAL STRATEGIC HEALTH AUTHORITY,PRIMARY CARE TRUST,5QCQ9,LYMINGTON HOSPITAL,COMMUNITY HOSPITAL,85.00,85.00,1.00,221.00,33.00,0.02,53.00,18.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,22605.00,16793.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2907.00,78.00,264.00,192.00,0.32,0.00,0.00,0.00,0.00,0.00,0.08,7.00,Yes,3.00,1.00,0.00,1.00,0.00,0.00,No,0.00,0.00,0.00,0.00
5QC,HAMPSHIRE PCT,SOUTH CENTRAL STRATEGIC HEALTH AUTHORITY,PRIMARY CARE TRUST,5QCR3,MILFORD ON SEA WAR MEMORIAL HOSPITAL,COMMUNITY HOSPITAL,311.00,306.00,20.00,807.00,296.00,0.11,144.00,71.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,21069.00,105221.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5758.00,578.00,2487.00,740.00,0.18,0.00,0.00,0.00,0.00,2.45,0.11,443.00,No,6.00,5.00,0.00,0.00,0.00,0.00,No,0.00,0.00,0.00,0.00
5QC,HAMPSHIRE PCT,SOUTH CENTRAL STRATEGIC HEALTH AUTHORITY,PRIMARY CARE TRUST,5QCT4,ROMSEY HOSPITAL,COMMUNITY HOSPITAL,228.00,228.00,13.00,615.00,213.00,0.23,152.00,57.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,100.00,0.00,0.00,25.00,2561.00,103.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20956.00,72598.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4845.00,191.00,828.00,1017.00,0.80,0.00,0.00,0.00,0.00,2.36,0.30,456.00,No,7.00,4.00,1.00,2.00,0.00,0.00,No,0.00,0.00,0.00,0.00
5QC,HAMPSHIRE PCT,SOUTH CENTRAL STRATEGIC HEALTH AUTHORITY,PRIMARY CARE TRUST,5QCYC,FAREHAM COMMUNITY HOSPITAL,COMMUNITY HOSPITAL,758.00,758.00,28.00,1820.00,816.00,0.37,605.00,128.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,85789.00,75617.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,13131.00,209.00,387.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,No,33.00,17.00,3.00,13.00,0.00,0.00,No,0.00,0.00,0.00,0.00
5QC,HAMPSHIRE PCT,SOUTH CENTRAL STRATEGIC HEALTH AUTHORITY,PRIMARY CARE TRUST,AGGRE,AGGREGATE SITE,AGGREGATE SITE,16123.00,15115.00,49.00,40217.00,10189.00,3.89,9046.00,4825.00,10.76,0.00,1.04,0.00,0.00,0.00,0.00,16.00,4.00,12.00,34.00,27.00,4.00,0.00,3.00,100.00,52186.00,384738.00,412937.00,312273.00,466059.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1227674.00,2450289.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,241086.00,7020.00,23521.00,34712.00,22.44,0.00,0.00,0.00,0.00,83.99,14.22,16777.00,No,23.00,15.00,2.00,9.00,0.00,0.00,No,0.00,0.00,0.00,0.00
5QT,ISLE OF WIGHT NHS PCT,SOUTH CENTRAL STRATEGIC HEALTH AUTHORITY,PRIMARY CARE TRUST,5QT01,"ST MARY'S HOSPITAL, NEWPORT",GENERAL ACUTE HOSPITAL,54780.00,54780.00,100.00,141332.00,34096.00,27.70,22341.00,30883.00,20.20,0.00,5.31,402.00,302.00,80.00,54.00,5.65,9.06,40.82,4.51,14.01,3.03,2.32,20.60,100.00,2378395.00,2646782.00,3526340.00,925641.00,5247776.00,2.00,304.00,5241353.00,2569727.00,1795202.00,0.00,0.00,5627780.00,17161105.00,108000.00,0.00,0.00,0.00,0.00,0.00,0.00,1230369.00,84608.00,253976.00,404220.00,325.00,0.00,489.00,3.00,0.00,0.00,108.00,0.00,Yes,1161.00,370.00,48.00,743.00,1.40,0.04,Yes,8.81,3.00,211347.00,924826.00
5QT,ISLE OF WIGHT NHS PCT,SOUTH CENTRAL STRATEGIC HEALTH AUTHORITY,PRIMARY CARE TRUST,5QT23,"SHACKLETON HOUSE, RYDE",SUPPORT FACILITY,861.00,861.00,100.00,2325.00,827.00,0.26,617.00,210.00,0.00,0.00,12.00,12.00,9.00,0.00,2.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,23250.00,0.00,4555.00,27805.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,53520.00,527214.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,25262.00,789.00,2521.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,No,20.00,5.00,1.00,20.00,0.00,0.00,No,0.00,0.00,0.00,0.00
5QT,ISLE OF WIGHT NHS PCT,SOUTH CENTRAL STRATEGIC HEALTH AUTHORITY,PRIMARY CARE TRUST,5QT33,"WOODLANDS, WOOTTON BRIDGE",SUPPORT FACILITY,467.00,467.00,100.00,1261.00,332.00,0.33,425.00,13.00,0.00,0.00,6.00,10.00,8.00,8.00,2.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,3125.00,28085.00,45800.00,81305.00,158315.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,19736.00,116278.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7025.00,395.00,1805.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,No,5.00,5.00,1.00,5.00,0.00,0.00,No,0.00,0.00,0.00,0.00
5QT,ISLE OF WIGHT NHS PCT,SOUTH CENTRAL STRATEGIC HEALTH AUTHORITY,PRIMARY CARE TRUST,AGGRE,AGGREGATE SITE,AGGREGATE SITE,4965.00,4965.00,100.00,14499.00,4266.00,0.90,2743.00,2222.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20.00,5.00,5.00,15.00,5.00,0.00,0.00,50.00,100.00,148400.00,327391.00,443163.00,379193.00,516908.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,215613.00,1147508.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,72305.00,1625.00,6075.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,No,400.00,400.00,55.00,400.00,0.00,0.00,No,0.00,0.00,0.00,0.00
NAX,EAST COAST COMMUNITY HEALTHCARE C.I.C,EAST OF ENGLAND STRATEGIC HEALTH AUTHORITY,SOCIAL ENTERPRISE,NAX01,NORTHGATE HOSPITAL,COMMUNITY HOSPITAL,1160.00,1160.00,100.00,2900.00,1015.00,0.17,970.00,190.00,10.00,15.00,15.00,15.00,15.00,3.00,2.00,0.00,0.00,0.00,15.00,0.00,10.00,0.00,75.00,100.00,21494.00,71975.00,111353.00,192940.00,106074.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,123115.00,323542.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,22200.00,669.00,1180.00,4717.00,4.20,0.00,12.00,0.00,0.00,0.00,0.00,0.00,No,0.00,0.00,0.00,0.00,0.00,0.00,No,4.50,2.50,23850.00,85800.00
NAX,EAST COAST COMMUNITY HEALTHCARE C.I.C,EAST OF ENGLAND STRATEGIC HEALTH AUTHORITY,SOCIAL ENTERPRISE,NAX03,BECCLES HOSPITAL,COMMUNITY HOSPITAL,2608.00,2244.00,100.00,7433.00,1720.00,1.47,1763.00,524.00,10.00,0.00,15.00,23.00,19.00,3.00,1.00,0.00,0.00,0.00,40.00,0.00,30.00,0.00,30.00,100.00,27632.00,39017.00,63294.00,221354.00,61067.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,282827.00,963281.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,52380.00,632.00,930.00,5999.00,8.37,9.92,16.12,0.00,0.00,0.00,0.00,0.00,No,109.00,109.00,8.00,109.00,0.00,0.00,No,4.50,2.50,23850.00,85600.00
NAX,EAST COAST COMMUNITY HEALTHCARE C.I.C,EAST OF ENGLAND STRATEGIC HEALTH AUTHORITY,SOCIAL ENTERPRISE,NAX05,PATRICK STEAD HOSPITAL,COMMUNITY HOSPITAL,1456.00,1456.00,100.00,3724.00,1096.00,0.79,1324.00,132.00,25.00,5.00,16.00,13.00,12.00,11.00,2.00,0.00,0.00,0.00,0.00,20.00,0.00,10.00,70.00,100.00,75838.00,108152.00,110132.00,192973.00,122035.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,161283.00,435648.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,27508.00,1043.00,1559.00,2805.00,3.56,5.66,6.37,0.00,0.00,0.00,2.04,1200.00,No,31.00,31.00,3.00,0.00,0.00,0.00,No,4.50,2.50,23850.00,85800.00
NAX,EAST COAST COMMUNITY HEALTHCARE C.I.C,EAST OF ENGLAND STRATEGIC HEALTH AUTHORITY,SOCIAL ENTERPRISE,NAX06,SOUTHWOLD HOSPITAL,COMMUNITY HOSPITAL,1160.00,1160.00,100.00,2900.00,1015.00,0.17,970.00,190.00,10.00,15.00,2.00,12.00,10.00,3.00,2.00,0.00,0.00,0.00,15.00,0.00,10.00,0.00,75.00,100.00,21494.00,71975.00,111353.00,192940.00,106074.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,84015.00,354356.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,22200.00,904.00,1307.00,2805.00,2.58,0.00,6.37,0.00,0.00,0.00,0.00,0.00,No,0.00,0.00,0.00,0.00,0.00,0.00,No,4.50,2.50,23750.00,85600.00
NLY,CARE AND SUPPORT PARTNERSHIP (SEQOL),SOUTH WEST STRATEGIC HEALTH AUTHORITY,SOCIAL ENTERPRISE,AGGRE,AGGREGATE SITE,AGGREGATE SITE,2243.00,2243.00,40.00,6715.00,1935.00,0.32,1557.00,686.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,12.50,25.00,37.50,25.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,170855.00,171763.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,46945.00,3017.00,11312.00,15000.00,0.60,13.00,16.35,0.00,0.00,0.00,4.00,2262.00,No,19.00,3.00,2.00,14.00,0.00,0.00,No,0.00,0.00,0.00,0.00
NLY,CARE AND SUPPORT PARTNERSHIP (SEQOL),SOUTH WEST STRATEGIC HEALTH AUTHORITY,SOCIAL ENTERPRISE,NLY04,SWINDON INTERMEDIATE CARE CENTRE,SHORT TERM NON-ACUTE HOSPITAL,2698.00,2698.00,100.00,6525.00,937.00,0.58,1981.00,717.00,0.00,0.00,0.00,60.00,48.00,20.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,532171.00,355441.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,70298.00,5861.00,9661.00,24749.00,1.07,23.00,26.97,0.00,0.00,0.00,10.00,5920.00,No,130.00,64.00,6.00,60.00,0.31,0.31,No,10.01,1.00,17520.00,175327.00
NNV,YOUR HEALTHCARE,LONDON STRATEGIC HEALTH AUTHORITY,SOCIAL ENTERPRISE,AGGRE,AGGREGATE SITE,AGGREGATE SITE,7947.00,7430.00,100.00,20413.00,7446.00,3.07,1723.00,4164.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.92,22.12,8.27,9.01,14.33,0.00,43.35,100.00,0.00,255310.00,103256.00,40179.00,198040.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,173557.00,859499.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,175191.00,3724.00,18003.00,10398.00,0.17,6.88,15.58,0.50,0.00,0.00,21.64,3115.00,No,154.00,47.00,10.00,97.00,0.00,0.00,No,0.00,0.00,0.00,0.00
NNV,YOUR HEALTHCARE,LONDON STRATEGIC HEALTH AUTHORITY,SOCIAL ENTERPRISE,NNV05,TOLWORTH HOSPITAL,COMMUNITY HOSPITAL,4747.00,4747.00,100.00,14241.00,2608.00,1.18,3997.00,750.00,0.00,0.00,0.00,47.00,47.00,0.00,17.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,100.00,1075115.00,516683.00,153633.00,455885.00,1608635.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,376422.00,1618657.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,93150.00,2756.00,6156.00,7957.00,10.01,7.01,4.75,0.00,0.00,15.64,8.95,3189.00,No,96.00,96.00,3.00,0.00,0.00,0.00,No,6.55,3.50,51465.00,269420.00
NQ7,MEDWAY COMMUNITY HEALTHCARE,SOUTH EAST COAST STRATEGIC HEALTH AUTHORITY,SOCIAL ENTERPRISE,AGGRE,AGGREGATE SITE,AGGREGATE SITE,7427.00,7035.00,100.00,16882.00,4284.00,1.04,1947.00,4907.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,27.00,0.00,47.34,11.23,9.49,0.00,0.00,4.94,100.00,5000.00,105000.00,0.00,0.00,110000.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,901766.00,2027546.00,2189.00,0.00,0.00,0.00,0.00,0.00,0.00,172229.00,7847.00,22132.00,28288.00,20.83,17.98,16.35,2.43,0.00,118.56,95.71,25229.00,No,307.00,97.00,38.00,172.00,0.00,0.00,No,0.00,0.00,0.00,30982.00
NQ7,MEDWAY COMMUNITY HEALTHCARE,SOUTH EAST COAST STRATEGIC HEALTH AUTHORITY,SOCIAL ENTERPRISE,NQ703,DARLAND HOUSE NURSING HOME,LONG STAY HOSPITAL,2236.00,2080.00,100.00,4993.00,1177.00,0.56,1249.00,345.00,0.00,0.00,0.00,40.00,39.00,40.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,55000.00,125000.00,0.00,0.00,180000.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,191121.00,503005.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,38669.00,2860.00,8971.00,7726.00,1.59,0.15,17.60,0.00,0.00,17.77,6.13,2882.00,No,22.00,11.00,1.00,10.00,0.00,0.00,No,7.00,3.00,42705.00,102117.00
NQ7,MEDWAY COMMUNITY HEALTHCARE,SOUTH EAST COAST STRATEGIC HEALTH AUTHORITY,SOCIAL ENTERPRISE,NQ713,ST BARTHOLOMEW'S HOSPITAL (ROCHESTER),SHORT TERM NON-ACUTE HOSPITAL,3612.00,3408.00,100.00,8179.00,1789.00,0.55,1416.00,1807.00,0.00,0.00,0.00,52.00,45.00,0.00,6.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,100.00,74000.00,149000.00,88000.00,0.00,240600.00,1.00,35.00,160.00,82.00,45.00,0.00,0.00,555178.00,1710489.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,119755.00,5763.00,18399.00,10893.00,1.87,8.97,3.56,1.53,0.00,30.79,20.51,5846.00,No,91.00,43.00,4.00,44.00,0.00,0.00,No,10.00,9.00,49275.00,148497.00
NQ7,MEDWAY COMMUNITY HEALTHCARE,SOUTH EAST COAST STRATEGIC HEALTH AUTHORITY,SOCIAL ENTERPRISE,NQ719,WISDOM HOSPICE,NON-HOSPITAL (PATIENT),2251.00,2117.00,100.00,4640.00,1362.00,0.40,876.00,907.00,0.00,0.00,0.00,15.00,11.00,1.00,1.00,0.00,28.00,0.00,72.00,0.00,0.00,0.00,0.00,100.00,40000.00,5000.00,25000.00,0.00,45781.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,168684.00,485774.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,35486.00,1328.00,4249.00,5224.00,1.66,0.04,4.07,0.07,0.00,17.51,7.43,3004.00,No,21.00,9.00,3.00,9.00,0.00,0.00,No,11.00,5.00,12045.00,87343.00
NQK,SPIRAL HEALTH C.I.C,NORTH WEST STRATEGIC HEALTH AUTHORITY,SOCIAL ENTERPRISE,NQK01,BISPHAM HOSPITAL,SPECIALIST HOSPITAL,1822.00,1822.00,100.00,4349.00,1950.00,0.68,1522.00,300.00,0.00,0.00,0.00,41.00,37.00,8.00,1.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,272570.00,1227338.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,79024.00,1233.00,12530.00,5001.00,4.30,0.00,9.87,0.00,0.00,0.00,5.24,1020.00,No,20.00,20.00,2.00,0.00,0.00,0.00,No,10.00,2.00,40977.00,141764.00
NQL,NAVIGO,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY,SOCIAL ENTERPRISE,AGGRE,AGGREGATE SITE,AGGREGATE SITE,3692.00,3692.00,100.00,11076.00,22080.00,2.50,0.00,3492.00,0.00,0.00,5.00,0.00,0.00,0.00,0.00,12.50,0.00,0.00,22.50,30.00,25.00,0.00,10.00,100.00,10000.00,5000.00,40000.00,5000.00,60000.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,377890.00,768362.00,45500.00,0.00,0.00,0.00,0.00,0.00,0.00,91261.00,4829.00,7916.00,12050.00,0.00,0.00,3.20,0.60,0.00,0.50,1.00,208.00,No,72.00,0.00,4.00,0.00,0.00,0.00,No,0.00,0.00,0.00,0.00
NQL,NAVIGO,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY,SOCIAL ENTERPRISE,NQL02,THE WILLOWS,SHORT TERM NON-ACUTE HOSPITAL,1392.00,1392.00,100.00,4176.00,1392.00,0.48,1301.00,91.00,0.00,0.00,55.00,16.00,5.00,0.00,16.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00,100.00,0.00,0.00,1000.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,131035.00,444182.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,39823.00,6295.00,7337.00,758.00,0.00,0.00,20.00,0.50,0.00,0.00,2.20,208.00,No,20.00,0.00,2.00,0.00,0.00,0.00,No,4.25,0.00,7665.00,63243.00
NQL,NAVIGO,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY,SOCIAL ENTERPRISE,NQL03,THE GARDENS,COMMUNITY HOSPITAL,1511.00,1511.00,100.00,4534.00,1511.00,1.24,998.00,428.00,0.00,0.00,0.00,15.00,15.00,15.00,0.00,14.80,20.59,8.70,9.33,31.31,0.91,0.00,14.36,100.00,0.00,0.00,0.00,250.00,250.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,175000.00,615000.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,32000.00,6000.00,10000.00,4790.00,5.02,0.00,4.72,0.04,0.00,0.00,8.00,227.00,No,32.00,0.00,4.00,0.00,1.40,0.00,Yes,4.25,0.00,16425.00,92000.00
NQL,NAVIGO,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY,SOCIAL ENTERPRISE,NQL10,HARRISON HOUSE,TREATMENT CENTRE,3289.00,3289.00,100.00,8221.00,2703.00,1.84,2970.00,319.00,0.00,0.00,5.00,26.00,26.00,26.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00,1000.00,0.00,1.00,20.00,30.00,5.00,20.00,0.00,0.00,354549.00,1149708.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,75216.00,9755.00,10000.00,1405.00,2.88,0.00,0.00,0.00,0.00,0.00,0.00,0.00,No,35.00,0.00,4.00,0.00,0.00,0.00,No,4.25,0.00,28470.00,106158.00
NR5,PLYMOUTH COMMUNITY HEALTHCARE (CIC),SOUTH WEST STRATEGIC HEALTH AUTHORITY,SOCIAL ENTERPRISE,AGGRE,AGGREGATE SITE,AGGREGATE SITE,206782.00,206782.00,100.00,4963.00,19862.00,1.93,76213.00,88395.00,0.00,0.00,0.00,18.00,17.00,0.00,0.00,22.60,23.82,10.44,6.37,18.44,6.37,0.00,11.96,100.00,0.00,0.00,500000.00,700000.00,1200000.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2110924.00,10946923.00,0.00,0.00,0.00,0.00,0.00,1093114.00,0.00,213976.00,17615.00,88717.00,86604.00,28.42,0.00,28.42,0.00,0.00,0.00,0.00,0.00,No,428.00,0.00,28.00,0.00,0.00,0.00,No,8.65,0.00,17334.00,47669.00
NR5,PLYMOUTH COMMUNITY HEALTHCARE (CIC),SOUTH WEST STRATEGIC HEALTH AUTHORITY,SOCIAL ENTERPRISE,NR510,LEA MILL,COMMUNITY HOSPITAL,996.00,996.00,100.00,3500.00,3.00,4.09,454.00,272.00,0.00,0.00,0.00,12.00,12.00,12.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00,2400.00,0.00,2400.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,98869.00,300367.00,0.00,0.00,0.00,0.00,0.00,24717.00,0.00,19305.00,1633.00,7216.00,4095.00,0.17,0.00,0.17,0.00,0.00,0.00,0.00,0.00,No,21.00,0.00,1.00,0.00,0.00,0.00,No,8.24,0.00,10728.00,29502.00
NR5,PLYMOUTH COMMUNITY HEALTHCARE (CIC),SOUTH WEST STRATEGIC HEALTH AUTHORITY,SOCIAL ENTERPRISE,NR515,GLENBOURNE,COMMUNITY HOSPITAL,3580.00,3580.00,100.00,8592.00,1936.00,1.13,1498.00,1173.00,0.00,0.00,0.00,46.00,46.00,0.00,23.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00,500000.00,700000.00,1200000.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,211914.00,789704.00,0.00,0.00,0.00,0.00,0.00,52979.00,0.00,60244.00,2331.00,11815.00,6141.00,3.21,0.00,3.21,0.00,0.00,0.00,0.00,0.00,No,55.00,0.00,3.00,0.00,0.00,0.00,No,8.65,0.00,46584.00,120689.00
