Trust Code,Trust Name,Old Commissioning Region,New Commissioning Region,Trust Type,Site Code,Site Name,Site Type,Tenure,Leasehold Type,Post Code,Depreciation (£),PDC (£),Leases (£),Rent and Rates (£),Interest on Capital (£),Other Estates and Facilities finance costs (£),Indirect accommodation subsidies (£),Estates and property maintenance (£),Grounds and gardens maintenance (£),Electro Bio Medical Equipment maintenance (£),Other Hard FM (Estates) costs (£),Other Soft FM (Hotel Services) costs (£),Gross internal floor area (m²),Occupied floor area (m²),NHS estate occupied floor area (%),Site heated volume (m³),Land area owned (Hectares),Land area not delivering services (Hectares),Clinical space (m²),Non-clinical space (m²),Private patient (m²),Pathology (m²),Clinical Sterile Services Dept. (CSSD) (m²),Medical records (m²),Human Resources (m²),Information Technology (m²),General Administration (m²),Restaurants (m²),Staff Accommodation (m²),Retail sales area (m²),Not functionally suitable - occupied floor area (%),Not functionally suitable - patient occupied floor area (%),Floor area - empty (%),Floor area - under used (%),Single bedrooms for patients with en-suite facilities (No.),Single bedrooms for patients without en-suite facilities (No.),Isolation rooms (No.),Cost to eradicate high risk backlog (£),Cost to eradicate significant risk backlog (£),Cost to eradicate moderate risk backlog (£),Cost to eradicate low risk backlog (£),CHP units operated on the site (No.),CHP unit/s size (Watts),CHP unit/s efficiency (%),Fossil energy input to CHP system/s (kWh),Thermal energy output of CHP system/s (kWh),Electrical energy output of CHP system/s (kWh),Exported electricity (kWh),Exported thermal energy (kWh),Have you dumped/discharged energy in the last year (Yes/No),How many kWh were discharged (kWh),How many kWh were discharged to use (kWh),How many kWh were discharged to waste (kWh),Electricity costs (£),Electricity consumed (kWh),Gas costs (£),Gas consumed (kWh),Oil costs (£),Oil consumed (kWh),Coal costs (£),Coal consumed (kWh),Electricity costs - green energy tariff (£),Electricity consumed - green energy tariff (kWh),Electricity costs - third party owned renewable (£),Electricity consumed - third party owned renewable (kWh),Non-fossil fuel costs - renewable (£),Non-fossil fuel consumed - renewable (kWh),Other energy costs (£),Steam consumed (kWh),Hot water consumed (kWh),Electrical energy output of owned onsite renewables (kWh),Water and sewerage cost (£),Water volume (including borehole) (m³),Incineration (clinical waste) cost (£),Incineration (clinical waste) volume (Tonnes),Alternative Treatment (clinical waste) cost (£),Alternative Treatment (clinical waste) volume (Tonnes),Offensive waste cost (£),Offensive waste volume (Tonnes),Clinical waste processed on site cost (£),Clinical waste processed on site volume (Tonnes),Domestic waste (landfill) cost (£),Domestic waste (landfill) volume (Tonnes),Domestic waste (recycling) cost (£),Domestic waste (recycling) volume (Tonnes),Domestic waste (food) cost (£),Domestic waste (food) volume (Tonnes),Domestic waste (textiles) cost (£),Domestic waste (textiles) volume (Tonnes),Domestic waste (incineration) cost (£),Domestic waste (incineration) volume (Tonnes),Domestic waste processed on site cost (£),Domestic waste processed on site volume (Tonnes),WEEE waste cost (£),WEEE waste volume (Tonnes),Other waste costs (£),Car parking services cost (£),Parking spaces available (No.),Designated disabled parking spaces (No.),Electric vehicle charging points (No.),Average fee charged per hour for patient/visitor parking (£),Average fee charged per hour for staff parking (£),Is there a charge for disabled parking (Yes/No/None),Cleaning service cost (£),Cleaning staff (WTE),Inpatient food service cost (£),Inpatient main meals requested (No.),Laundry and linen service cost (£),Pieces per annum (No.),Laundry and linen service used (Select),Onsite laundry (Select),Portering service cost (£),Portering staff (WTE)
RRV,UNIVERSITY COLLEGE LONDON NHS FOUNDATION TRUST,LONDON COMMISSIONING REGION,LONDON COMMISSIONING REGION,ACUTE - TEACHING,RRV30,UCL AT WESTMORELAND STREET (THE HEART HOSPITAL),1. General acute hospital,8. Leased from commercial organisation - lease greater than 99 years,1. Leased and fully serviced by the Trust,W1G  8PH,913193.00,1342036.00,0.00,506855.00,0.00,0.00,0.00,1568069.00,0.00,963839.00,53010.00,407837.00,12336.00,11291.00,0.00,25845.00,Not Applicable,Not Applicable,8817.00,2351.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,110.00,0.00,123.00,0.00,0.00,0.00,0.00,12.00,1.00,14.00,580970.00,451409.00,265876.00,115406.00,0.00,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,428102.00,2764387.00,120080.00,3258205.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,44561.00,0.00,0.00,0.00,42881.00,18473.00,13084.00,20.18,19493.00,56.88,7321.00,32.78,Not Applicable,Not Applicable,11176.00,49.00,11535.00,43.89,3959.00,20.09,0.00,0.00,0.00,0.00,Not Applicable,Not Applicable,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,None,774000.00,26.00,595198.00,99645.00,161040.00,215200.00,3. Hybrid,Yes,160423.00,5.00
RRV,UNIVERSITY COLLEGE LONDON NHS FOUNDATION TRUST,LONDON COMMISSIONING REGION,LONDON COMMISSIONING REGION,ACUTE - TEACHING,RRVNQ,NATIONAL HOSPITAL NEUROLOGY/NEUROSURGERY,2. Specialist hospital (acute only),1. Freehold,,WC1N 3BG,2717900.00,2620477.00,0.00,1140752.00,0.00,0.00,Not Applicable,2135649.00,0.00,234885.00,140545.00,1062295.00,32501.00,29936.00,86.00,71692.00,1.22,0.00,24547.00,5201.00,887.00,0.00,0.00,254.00,0.00,15.00,614.00,188.00,0.00,188.00,0.00,0.00,0.00,0.00,38.00,6.00,0.00,2289117.00,1776153.00,2040457.00,1448406.00,0.00,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,1271552.00,8790242.00,213872.00,5623032.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,47767.00,0.00,0.00,0.00,76312.00,31788.00,13149.00,20.00,58111.00,170.00,5451.00,24.00,0.00,0.00,39532.00,148.00,13418.00,102.00,3728.00,19.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,None,2654918.00,77.29,1085431.00,205539.00,344491.00,842841.00,1. Full service – Contracted,No,658935.00,23.00
RRV,UNIVERSITY COLLEGE LONDON NHS FOUNDATION TRUST,LONDON COMMISSIONING REGION,LONDON COMMISSIONING REGION,ACUTE - TEACHING,RRVORS,OTHER REPORTABLE SITES,Other Reportable Site,,,NW1 2PG,2851791.00,3654992.00,0.00,13213973.00,0.00,0.00,0.00,2873681.00,19625.00,118947.00,410251.00,3166168.00,66402.00,59867.00,42.00,142312.00,Not Applicable,Not Applicable,37608.00,21133.00,651.00,2749.00,0.00,0.00,2451.00,1779.00,5439.00,21.00,0.00,1126.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1875802.00,1046755.00,1296622.00,947704.00,0.00,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,797083.00,5124487.00,81592.00,2234935.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,430790.00,1623107.00,0.00,0.00,84235.00,34627.00,48468.00,65.00,2627.00,4.00,1407.00,2.00,0.00,0.00,54369.00,154.00,56205.00,56.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,78489.00,123.00,11.00,0.00,0.00,1.29,Yes,2338281.00,41.00,0.00,0.00,230758.00,169025.00,3. Hybrid,Yes,279378.00,11.41
RRV,UNIVERSITY COLLEGE LONDON NHS FOUNDATION TRUST,LONDON COMMISSIONING REGION,LONDON COMMISSIONING REGION,ACUTE - TEACHING,RRVRN,"ROYAL NATIONAL THROAT, NOSE & EAR HOSPITAL",2. Specialist hospital (acute only),9. Leased from commercial organisation - lease less than 99 years,1. Leased and fully serviced by the Trust,WC1X 8DA,412829.00,67160.00,0.00,2285443.00,0.00,0.00,0.00,623024.00,0.00,175947.00,49451.00,437100.00,11460.00,10533.00,0.00,26783.00,Not Applicable,Not Applicable,8997.00,1366.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,120.00,0.00,170.00,0.00,0.00,0.00,0.00,5.00,3.00,0.00,1743080.00,651464.00,590748.00,373593.00,0.00,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,142782.00,884636.00,111622.00,2888191.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,126647.00,0.00,0.00,0.00,17276.00,6885.00,3087.00,3.00,19071.00,23.00,3439.00,5.00,Not Applicable,Not Applicable,6846.00,32.89,7002.00,36.00,0.00,0.00,0.00,0.00,0.00,0.00,Not Applicable,Not Applicable,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.77,None,573602.00,21.00,80931.00,14856.00,27622.00,102050.00,1. Full service – Contracted,No,201561.00,5.00
RT1,CAMBRIDGESHIRE AND PETERBOROUGH NHS FOUNDATION TRUST,MIDLANDS AND EAST OF ENGLAND COMMISSIONING REGION,EAST OF ENGLAND COMMISSIONING REGION,MENTAL HEALTH AND LEARNING DISABILITY,RT113,FULBOURN HOSPITAL,4. Mental Health (including Specialist services),1. Freehold,,CB1  5EF,693300.00,858446.00,0.00,98600.00,0.00,0.00,Not Applicable,714693.00,80212.00,13279.00,86336.00,85286.00,10695.00,9889.00,100.00,25712.00,14.38,0.00,7449.00,2440.00,0.00,0.00,0.00,73.00,0.00,0.00,1965.00,0.00,0.00,0.00,14.46,0.00,0.00,0.00,70.00,22.00,0.00,0.00,529800.00,179850.00,53716.00,0.00,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,99925.00,965580.00,81518.00,3173974.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,19815.00,10800.00,5841.00,4.72,4119.00,1.93,4827.00,4.61,0.00,0.00,11122.00,66.52,8436.00,60.43,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,216.00,0.06,0.00,0.00,282.00,18.00,0.00,0.00,0.00,No,468419.00,17.00,332523.00,80968.00,15377.00,78072.00,1. Full service – Contracted,No,37697.00,2.87
RT1,CAMBRIDGESHIRE AND PETERBOROUGH NHS FOUNDATION TRUST,MIDLANDS AND EAST OF ENGLAND COMMISSIONING REGION,EAST OF ENGLAND COMMISSIONING REGION,MENTAL HEALTH AND LEARNING DISABILITY,RT115,IDA DARWIN HOSPITAL,4. Mental Health (including Specialist services),5. SLA/lease from public sector,1. Leased and fully serviced by the Trust,CB1  5EE,179659.00,32271.00,0.00,218737.00,0.00,0.00,0.00,315232.00,18901.00,6901.00,28705.00,27030.00,3477.00,3477.00,0.00,9039.00,Not Applicable,Not Applicable,2752.00,725.00,0.00,0.00,0.00,0.00,0.00,0.00,681.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,28.00,0.00,0.00,380700.00,173800.00,19550.00,0.00,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,83163.00,734568.00,51096.00,1381459.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8976.00,5410.00,5107.00,4.67,2120.00,0.27,439.00,0.73,Not Applicable,Not Applicable,5639.00,30.84,6507.00,42.49,6507.00,42.49,0.00,0.00,0.00,0.00,Not Applicable,Not Applicable,1749.00,3.51,0.00,0.00,59.00,3.00,0.00,0.00,0.00,No,305863.00,5.00,121036.00,20440.00,2041.00,11585.00,1. Full service – Contracted,No,1585.00,0.13
RT1,CAMBRIDGESHIRE AND PETERBOROUGH NHS FOUNDATION TRUST,MIDLANDS AND EAST OF ENGLAND COMMISSIONING REGION,EAST OF ENGLAND COMMISSIONING REGION,MENTAL HEALTH AND LEARNING DISABILITY,RT11A,BROOKFIELDS HOSPITAL,7. Community hospital (with inpatient beds),4. SLA/lease from NHS,3. Leased and part serviced,CB1 3DF,0.00,0.00,216393.00,184000.00,0.00,0.00,0.00,263528.00,59.00,9442.00,476.00,36988.00,2583.00,2583.00,0.00,6715.00,Not Applicable,Not Applicable,2292.00,291.00,0.00,0.00,0.00,14.00,0.00,0.00,277.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20.00,3.00,0.00,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,22427.00,199908.00,15427.00,540924.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5092.00,2546.00,1823.00,2.31,834.00,0.78,1090.00,1.95,Not Applicable,Not Applicable,243.00,1.33,199.00,1.37,0.00,0.00,0.00,0.00,0.00,0.00,Not Applicable,Not Applicable,0.00,0.00,0.00,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,106551.00,3.90,94962.00,26280.00,30573.00,122780.00,1. Full service – Contracted,No,14295.00,0.89
RT1,CAMBRIDGESHIRE AND PETERBOROUGH NHS FOUNDATION TRUST,MIDLANDS AND EAST OF ENGLAND COMMISSIONING REGION,EAST OF ENGLAND COMMISSIONING REGION,MENTAL HEALTH AND LEARNING DISABILITY,RT11C,CITY CARE CENTRE,7. Community hospital (with inpatient beds),7. Leased from NHS Property Services,3. Leased and part serviced,PE3 6DB,0.00,0.00,0.00,2954890.00,0.00,0.00,0.00,0.00,0.00,24203.00,0.00,0.00,3885.00,3232.00,0.00,8859.00,Not Applicable,Not Applicable,3000.00,232.00,0.00,0.00,0.00,0.00,0.00,0.00,232.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,34.00,0.00,0.00,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
RT1,CAMBRIDGESHIRE AND PETERBOROUGH NHS FOUNDATION TRUST,MIDLANDS AND EAST OF ENGLAND COMMISSIONING REGION,EAST OF ENGLAND COMMISSIONING REGION,MENTAL HEALTH AND LEARNING DISABILITY,RT182,NORTH CAMBRIDGESHIRE HOSPITAL,7. Community hospital (with inpatient beds),5. SLA/lease from public sector,3. Leased and part serviced,PE13 3AB,0.00,0.00,156309.00,30000.00,0.00,0.00,0.00,169619.00,2205.00,20180.00,863.00,9750.00,2022.00,2022.00,0.00,5257.00,Not Applicable,Not Applicable,2022.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,4.00,0.00,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,16549.00,149679.00,18909.00,744609.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2611.00,1364.00,721.00,0.77,664.00,0.83,346.00,0.33,Not Applicable,Not Applicable,444.00,2.33,185.00,2.66,0.00,0.00,0.00,0.00,0.00,0.00,Not Applicable,Not Applicable,0.00,0.00,0.00,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,80824.00,1.90,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,13022.00,0.71
RT1,CAMBRIDGESHIRE AND PETERBOROUGH NHS FOUNDATION TRUST,MIDLANDS AND EAST OF ENGLAND COMMISSIONING REGION,EAST OF ENGLAND COMMISSIONING REGION,MENTAL HEALTH AND LEARNING DISABILITY,RT190,ADDENBROOKES HOSPITAL,4. Mental Health (including Specialist services),4. SLA/lease from NHS,3. Leased and part serviced,CB2  2QQ,33934.00,7668.00,0.00,100189.00,0.00,0.00,0.00,84153.00,8311.00,374.00,12622.00,0.00,1803.00,1803.00,0.00,4688.00,Not Applicable,Not Applicable,1653.00,150.00,0.00,0.00,0.00,0.00,0.00,0.00,150.00,0.00,0.00,0.00,0.00,0.00,0.00,26.91,10.00,0.00,0.00,0.00,7100.00,92350.00,39450.00,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,94891.00,1.75,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
RT1,CAMBRIDGESHIRE AND PETERBOROUGH NHS FOUNDATION TRUST,MIDLANDS AND EAST OF ENGLAND COMMISSIONING REGION,EAST OF ENGLAND COMMISSIONING REGION,MENTAL HEALTH AND LEARNING DISABILITY,RT199,CAVELL CENTRE - MENTAL HEALTH UNT,6. Mental Health and Learning Disabilities,2. Whole site - Private Finance Initiative (PFI),,PE3 9GZ,666649.00,1155158.00,2730671.00,163072.00,1139000.00,0.00,Not Applicable,317743.00,20320.00,0.00,123377.00,222421.00,9164.00,9164.00,100.00,22600.00,2.27,0.00,7839.00,1325.00,0.00,0.00,0.00,45.00,0.00,30.00,1130.00,120.00,0.00,0.00,0.00,0.00,0.00,0.00,99.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,132107.00,1375993.00,60064.00,2489591.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10705.00,7640.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,64059.00,3120.00,0.00,0.00,0.00,0.00,0.00,No,482105.00,9.90,609302.00,69396.00,59564.00,103385.00,1. Full service – Contracted,No,0.00,0.00
RT1,CAMBRIDGESHIRE AND PETERBOROUGH NHS FOUNDATION TRUST,MIDLANDS AND EAST OF ENGLAND COMMISSIONING REGION,EAST OF ENGLAND COMMISSIONING REGION,MENTAL HEALTH AND LEARNING DISABILITY,RT1FD,PRINCESS OF WALES HOSPITAL,3. Mixed service hospital,5. SLA/lease from public sector,3. Leased and part serviced,CB6  1DN,0.00,0.00,115484.00,0.00,0.00,0.00,0.00,204383.00,0.00,23251.00,698.00,20308.00,2340.00,2340.00,0.00,6085.00,Not Applicable,Not Applicable,2027.00,313.00,0.00,0.00,0.00,0.00,0.00,5.00,308.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00,0.00,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,39610.00,367986.00,18655.00,702985.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5722.00,3415.00,1202.00,1.94,718.00,1.00,729.00,1.39,Not Applicable,Not Applicable,680.00,3.65,865.00,10.19,0.00,0.00,0.00,0.00,0.00,0.00,Not Applicable,Not Applicable,0.00,0.00,0.00,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,92177.00,3.22,54132.00,15330.00,6987.00,32101.00,1. Full service – Contracted,No,17822.00,0.98
RT1,CAMBRIDGESHIRE AND PETERBOROUGH NHS FOUNDATION TRUST,MIDLANDS AND EAST OF ENGLAND COMMISSIONING REGION,EAST OF ENGLAND COMMISSIONING REGION,MENTAL HEALTH AND LEARNING DISABILITY,RT1ORS,OTHER REPORTABLE SITES,Other Reportable Site,,,PE29 6FH,503835.00,494454.00,1195657.00,1613068.00,30778.00,0.00,0.00,941036.00,103089.00,40367.00,156821.00,153174.00,23556.00,22819.00,61.93,34678.00,Not Applicable,Not Applicable,12412.00,10407.00,0.00,0.00,0.00,179.00,32.00,163.00,9254.00,0.00,0.00,0.00,6.09,0.00,0.40,0.59,0.00,0.00,0.00,33800.00,626682.00,661098.00,231633.00,0.00,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,149460.00,1193407.00,74089.00,2479223.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,22963.00,14661.00,5700.00,6.62,2070.00,0.59,2411.00,0.71,0.00,0.00,10115.00,55.47,12989.00,116.22,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,98.00,0.04,0.00,38400.00,462.00,22.00,0.00,0.00,0.00,No,488998.00,20.52,0.00,0.00,255.00,989.00,1. Full service – Contracted,No,5256.00,0.35
RT2,PENNINE CARE NHS FOUNDATION TRUST,NORTH OF ENGLAND COMMISSIONING REGION,NORTH WEST COMMISSIONING REGION,MENTAL HEALTH AND LEARNING DISABILITY,RT201,FAIRFIELD GENERAL HOSPITAL,6. Mental Health and Learning Disabilities,4. SLA/lease from NHS,1. Leased and fully serviced by the Trust,BL9  7TD,245246.00,491866.00,0.00,129949.00,0.00,0.00,0.00,177906.00,5856.00,34348.00,20734.00,135777.00,8536.00,7558.00,100.00,19915.00,Not Applicable,Not Applicable,4772.00,2786.00,0.00,0.00,0.00,58.00,0.00,10.00,1199.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,70.00,0.00,0.00,0.00,0.00,107200.00,145200.00,0.00,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,68034.00,976410.00,53654.00,1583350.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Not Applicable,Not Applicable,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Not Applicable,Not Applicable,237.00,0.60,1458.00,0.00,0.00,0.00,0.00,0.00,0.00,No,232712.00,9.14,239818.00,94975.00,32604.00,74514.00,1. Full service – Contracted,No,62023.00,2.48
RT2,PENNINE CARE NHS FOUNDATION TRUST,NORTH OF ENGLAND COMMISSIONING REGION,NORTH WEST COMMISSIONING REGION,MENTAL HEALTH AND LEARNING DISABILITY,RT202,TAMESIDE GENERAL HOSPITAL,4. Mental Health (including Specialist services),3. Part site - Private Finance Initiative (PFI),,OL6  9RW,348473.00,729384.00,0.00,70672.00,1044578.00,0.00,Not Applicable,239738.00,7891.00,46286.00,942940.00,182967.00,10003.00,9388.00,100.00,23223.00,3.50,0.00,7593.00,1795.00,0.00,0.00,0.00,70.00,0.00,20.00,1167.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,58.00,37.00,0.00,0.00,0.00,39200.00,56000.00,0.00,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,70922.00,560453.00,34361.00,1075623.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7620.00,4082.00,104.00,0.25,2530.00,6.11,0.00,0.00,0.00,0.00,10398.00,65.90,1581.00,15.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,237.00,0.60,1458.00,0.00,0.00,0.00,0.00,0.00,0.00,No,626788.00,22.17,518184.00,139284.00,94227.00,106476.00,1. Full service – Contracted,No,180660.00,7.23
RT2,PENNINE CARE NHS FOUNDATION TRUST,NORTH OF ENGLAND COMMISSIONING REGION,NORTH WEST COMMISSIONING REGION,MENTAL HEALTH AND LEARNING DISABILITY,RT203,ROYAL OLDHAM HOSPITAL,6. Mental Health and Learning Disabilities,4. SLA/lease from NHS,1. Leased and fully serviced by the Trust,OL1  2PN,236657.00,402897.00,0.00,91204.00,0.00,0.00,0.00,185681.00,6112.00,35849.00,21640.00,141711.00,7747.00,7136.00,100.00,18507.00,Not Applicable,Not Applicable,3450.00,3686.00,0.00,0.00,0.00,97.00,0.00,6.00,1097.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,58.00,8.00,0.00,0.00,0.00,96000.00,116000.00,0.00,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,68034.00,524127.00,54834.00,1090011.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8839.00,240000.00,0.00,0.00,29049.00,7121.00,0.00,0.00,0.00,0.00,0.00,0.00,Not Applicable,Not Applicable,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Not Applicable,Not Applicable,237.00,0.60,1458.00,0.00,0.00,0.00,0.00,0.00,0.00,No,124711.00,8.07,314743.00,66609.00,15910.00,48219.00,1. Full service – Contracted,No,81505.00,3.50
