Organisation Code,Organisation Name,Commissioning Region,Organisation Type,Site Code,Site Name,Site Type,Gross internal site floor area (m²),Occupied floor area (m²),NHS estate Occupied Floor Area (%),Site Heated Volume (m³),Site footprint (m²),Site land area (Hectare),Patient occupied floor area (m²),Non-patient occupied floor area (m²),Not functionally suitable (%),Un-utilised Space (%),Available beds (No.),Occupied beds (No.),Single bedrooms for patients with en-suite facilities (No.),Single bedrooms for patients without en-suite facilities (No.),Age Profile - 2005 to present (%),Age Profile - 1995 to 2004 (%),Age Profile - 1985 to 1994 (%),Age Profile - 1975 to 1984 (%),Age Profile - 1965 to 1974 (%),Age Profile - 1955 to 1964 (%),Age Profile - 1948 to 1954 (%),Age Profile - pre 1948 (%),Age Profile - Total (must equal 100%) (%),Cost to eradicate High Risk Backlog (£),Cost to eradicate Significant Risk Backlog (£),Cost to eradicate Moderate Risk Backlog (£),Cost to eradicate Low Risk Backlog (£),Risk Adjusted Backlog Cost (£),Number of CHP units operated on the site (No.),Total full load rating of the electrical generator plant (kW),Total fossil energy input to the CHP system/s (kWh),Total thermal energy output of the CHP system/s (kWh),Total electrical energy output of the CHP system/s (kWh),Total exported electricity for the site (kWh),Total exported thermal energy for the site (kWh),Electricity Consumed - Utility (kWh),Gas Consumed - Utility (kWh),Oil Consumed - Utility (kWh),Coal Consumed - Utility (kWh),Electricity Consumed - Local (kWh),Steam Consumed - Local (kWh),Hot Water Consumed - Local (kWh),Electricity Consumed - Renewable (kWh),Non-fossil fuel Consumed - Renewable (kWh),"Total Energy Cost (all energy supplies, utility, local & renewable) (£)",Water volume (including Borehole) (m³),Water and Sewage Cost (£),High Temperature Disposal Waste Weight (Tonnes),High Temperature Disposal Waste Cost (£),Total Waste Cost (£),Non Burn Treatment (Alternative Treatment Plant) Disposal Waste Weight (Tonnes),Landfill Disposal Waste Weight (Tonnes),Waste Electrical and Electronic Equipment (WEEE) Weight (Tonnes),Waste Electrical and Electronic Equipment (WEEE) Cost (£),Waste recovery/recycling volume (Tonnes),Waste recovery/recycling cost (£),Visitor/Staff concession scheme provided (Yes/No),Total parking spaces available (No.),Average fee charged per hour for patient/visitor parking (£),Designated disabled parking spaces (No.),Designated parking spaces available for patients/visitors (No.),Average fee charged per hour for Staff parking (£),Designated parking spaces available for staff (No.)
5M8,NORTH SOMERSET PCT,SOUTH WEST STRATEGIC HEALTH AUTHORITY,PRIMARY CARE TRUST,5M803,PILL CLINIC,TREATMENT CENTRE,294.00,263.00,100.00,790.00,176.00,0.07,117.00,146.00,5.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00,100.00,5000.00,0.00,2000.00,17050.00,5762.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,19398.00,8773.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3121.00,111.00,161.00,0.23,413.00,546.00,0.04,2.50,0.00,0.00,0.00,0.00,No,8.00,0.00,2.00,8.00,0.00,8.00
5M8,NORTH SOMERSET PCT,SOUTH WEST STRATEGIC HEALTH AUTHORITY,PRIMARY CARE TRUST,5M804,STOCKMEAD,NON-HOSPITAL (PATIENT),112.00,100.00,100.00,300.00,60.00,0.10,0.00,100.00,15.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00,100.00,0.00,2600.00,3000.00,10000.00,3466.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,15004.00,8832.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2079.00,369.00,874.00,0.90,1034.00,1839.00,0.05,0.00,0.00,0.00,0.00,0.00,No,0.00,0.00,0.00,0.00,0.00,0.00
5M8,NORTH SOMERSET PCT,SOUTH WEST STRATEGIC HEALTH AUTHORITY,PRIMARY CARE TRUST,5M833,WORLE HEALTH CENTRE,TREATMENT CENTRE,628.00,559.00,100.00,2000.00,559.00,0.10,117.00,442.00,20.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00,100.00,5000.00,7000.00,26000.00,20000.00,15066.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,42174.00,104676.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8722.00,1073.00,1554.00,1.94,3710.00,4571.00,0.79,0.00,0.00,0.00,0.00,0.00,No,12.00,0.00,1.00,12.00,0.00,12.00
5M8,NORTH SOMERSET PCT,SOUTH WEST STRATEGIC HEALTH AUTHORITY,PRIMARY CARE TRUST,5M843,THE MARINA HEALTHCARE CENTRE,TREATMENT CENTRE,1584.00,1440.00,100.00,3513.00,800.00,0.45,959.00,481.00,0.00,25.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00,1000.00,1000.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,56662.00,155945.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,13632.00,692.00,2346.00,0.91,1828.00,1923.00,0.07,0.15,0.00,0.00,0.00,0.00,No,28.00,0.00,2.00,28.00,0.00,28.00
5M8,NORTH SOMERSET PCT,SOUTH WEST STRATEGIC HEALTH AUTHORITY,PRIMARY CARE TRUST,5M8A7,21 STRODE ROAD,TREATMENT CENTRE,180.00,172.00,0.00,468.00,180.00,0.07,160.00,12.00,60.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00,100.00,5000.00,4000.00,1000.00,1200.00,9050.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6501.00,36927.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2094.00,228.00,1331.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,No,0.00,0.00,0.00,0.00,0.00,0.00
5MV,WOLVERHAMPTON CITY PCT,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,PRIMARY CARE TRUST,5MV05,"THE GEM CENTRE, NEACHELLS LANE",TREATMENT CENTRE,3282.00,3282.00,94.05,11487.00,1470.00,0.90,1669.00,1613.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,379802.00,505171.00,0.00,0.00,0.00,0.00,0.00,33026.00,0.00,66409.00,1295.00,4790.00,0.32,785.00,5148.00,2.19,5.92,1.18,980.00,8.00,1216.00,No,106.00,0.00,8.00,0.00,0.00,0.00
5MV,WOLVERHAMPTON CITY PCT,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,PRIMARY CARE TRUST,5MV36,ALFRED SQUIRE HEALTH CENTRE,TREATMENT CENTRE,1018.00,1018.00,100.00,2952.00,1018.00,0.28,635.00,383.00,3.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,18.00,82.00,0.00,0.00,100.00,0.00,0.00,80000.00,0.00,8000.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,61458.00,132317.00,0.00,0.00,0.00,0.00,0.00,5344.00,0.00,12540.00,901.00,2183.00,1.34,2519.00,6270.00,1.96,3.34,0.60,498.00,4.16,1398.00,No,28.00,0.00,2.00,0.00,0.00,0.00
5MV,WOLVERHAMPTON CITY PCT,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,PRIMARY CARE TRUST,5MV39,ASHMORE PARK CLINIC GRIFFITHS DRIVE,TREATMENT CENTRE,617.00,617.00,100.00,1789.00,617.00,0.31,381.00,236.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,45132.00,112739.00,0.00,0.00,0.00,0.00,0.00,3924.00,0.00,9641.00,874.00,2045.00,0.53,1172.00,3060.00,0.95,1.76,0.36,302.00,1.96,640.00,No,25.00,0.00,2.00,0.00,0.00,0.00
5MV,WOLVERHAMPTON CITY PCT,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,PRIMARY CARE TRUST,5MV41,LOWER GREEN HEALTH CENTRE LOWER STREET,TREATMENT CENTRE,758.00,737.00,100.00,2064.00,676.00,0.28,432.00,305.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00,1000.00,67.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,75676.00,175061.00,0.00,0.00,0.00,0.00,0.00,6581.00,0.00,15657.00,580.00,1412.00,0.75,1463.00,3375.00,1.00,1.62,0.45,371.00,2.02,584.00,No,33.00,0.00,2.00,0.00,0.00,0.00
5MV,WOLVERHAMPTON CITY PCT,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,PRIMARY CARE TRUST,5MV48,WARSTONES HEALTH CENTRE PINFOLD GROVE,TREATMENT CENTRE,628.00,628.00,100.00,1695.00,531.00,0.53,448.00,180.00,8.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00,100.00,0.00,0.00,45000.00,10000.00,3667.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,41323.00,104593.00,0.00,0.00,0.00,0.00,0.00,3593.00,0.00,9443.00,311.00,828.00,1.77,3543.00,5780.00,1.18,3.09,0.42,351.00,3.56,541.00,No,15.00,0.00,1.00,0.00,0.00,0.00
5MV,WOLVERHAMPTON CITY PCT,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,PRIMARY CARE TRUST,5MV49,WOODCROSS LANE HEALTH CENTRE,TREATMENT CENTRE,530.00,530.00,100.00,1484.00,478.00,0.26,365.00,165.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00,20000.00,30000.00,1667.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,35733.00,138458.00,0.00,0.00,0.00,0.00,0.00,3107.00,0.00,9004.00,1186.00,2597.00,0.29,603.00,1832.00,1.00,1.70,0.11,93.00,0.88,134.00,No,13.00,0.00,2.00,0.00,0.00,0.00
5MV,WOLVERHAMPTON CITY PCT,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,PRIMARY CARE TRUST,5MV57,PENDEFORD HEALTH CENTRE WHITBURN CLOSE,TREATMENT CENTRE,1268.00,1268.00,95.00,3550.00,1438.00,0.39,802.00,466.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00,50000.00,30000.00,4000.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,97983.00,214326.00,0.00,0.00,0.00,0.00,0.00,7839.00,90144.00,19371.00,1428.00,3569.00,0.80,1830.00,4052.00,0.93,3.34,0.75,621.00,4.08,572.00,No,18.00,0.00,1.00,0.00,0.00,0.00
5MV,WOLVERHAMPTON CITY PCT,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,PRIMARY CARE TRUST,5MV58,WHITMORE REANS HEALTH CENTRE LOWE STREET,TREATMENT CENTRE,1056.00,1056.00,100.00,2851.00,1120.00,0.41,612.00,444.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00,21000.00,15000.00,1800.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,54834.00,247849.00,0.00,0.00,0.00,0.00,0.00,4768.00,0.00,18535.00,470.00,1215.00,0.68,1329.00,4090.00,1.97,3.28,0.47,392.00,3.96,602.00,No,50.00,0.00,3.00,0.00,0.00,0.00
5MV,WOLVERHAMPTON CITY PCT,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,PRIMARY CARE TRUST,5MV65,BILSTON HEALTH CENTRE PROUDS LANE,TREATMENT CENTRE,1560.00,1560.00,95.20,4212.00,1468.00,0.51,929.00,631.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00,60000.00,10000.00,3500.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,121538.00,268339.00,0.00,0.00,0.00,0.00,0.00,10568.00,0.00,24461.00,1029.00,2529.00,2.35,4583.00,8830.00,3.22,3.90,0.92,764.00,5.68,863.00,No,54.00,0.00,2.00,0.00,0.00,0.00
5MV,WOLVERHAMPTON CITY PCT,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,PRIMARY CARE TRUST,5MV70,BUSHBURY HEALTH CENTRE HELLIER ROAD,TREATMENT CENTRE,510.00,510.00,100.00,1377.00,354.00,0.29,236.00,274.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00,5000.00,2000.00,350.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,38218.00,78158.00,0.00,0.00,0.00,0.00,0.00,3323.00,0.00,7560.00,259.00,656.00,0.54,1225.00,3035.00,0.98,3.21,0.30,249.00,1.84,280.00,No,18.00,0.00,2.00,0.00,0.00,0.00
5MV,WOLVERHAMPTON CITY PCT,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,PRIMARY CARE TRUST,5MV78,PENNFIELDS HEALTH CENTRE UPPER ZOAR STREET,TREATMENT CENTRE,752.00,752.00,100.00,2106.00,792.00,0.36,373.00,379.00,0.00,8.40,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,46520.00,147343.00,0.00,0.00,0.00,0.00,0.00,4078.00,0.00,11244.00,1058.00,2568.00,0.10,206.00,1501.00,0.76,1.70,0.20,184.00,1.88,286.00,No,12.00,0.00,2.00,0.00,0.00,0.00
5MV,WOLVERHAMPTON CITY PCT,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,PRIMARY CARE TRUST,5MV83,WOLVERHAMPTON CITY PCT HEADQUARTERS CONISTON HOUSE,SUPPORT FACILITY,2602.00,2602.00,0.00,7025.00,860.00,0.10,0.00,2602.00,0.00,0.05,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00,250000.00,25000.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,295337.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,36528.00,0.00,0.00,0.00,0.00,974.00,0.00,0.00,1.20,974.00,0.00,0.00,No,50.00,0.00,1.00,0.00,0.00,50.00
5MV,WOLVERHAMPTON CITY PCT,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,PRIMARY CARE TRUST,5MV85,PHOENIX HEALTH CENTRE PARKFIELD ROAD,TREATMENT CENTRE,1375.00,1375.00,100.00,3978.00,642.00,0.41,772.00,603.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,174909.00,310107.00,0.00,0.00,0.00,0.00,0.00,15209.00,0.00,31680.00,1859.00,5644.00,1.66,3483.00,10608.00,8.15,3.02,0.76,637.00,9.52,1447.00,No,52.00,0.00,4.00,0.00,0.00,0.00
5MV,WOLVERHAMPTON CITY PCT,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,PRIMARY CARE TRUST,AGGRE,AGGREGATE SITE,AGGREGATE SITE,8167.00,8012.00,74.00,21234.00,7053.00,2.00,4872.00,3140.00,20.00,2.00,0.00,0.00,0.00,0.00,17.80,4.40,0.00,72.30,0.00,0.00,0.00,5.50,100.00,0.00,0.00,0.00,10000.00,1000.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,251766.00,208064.00,0.00,0.00,0.00,0.00,0.00,21893.00,0.00,45000.00,1469.00,6502.00,0.48,1192.00,7787.00,3.49,15.43,0.38,315.00,9.32,1417.00,No,113.00,0.00,19.00,0.00,0.00,0.00
5N1,LEEDS PCT,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY,PRIMARY CARE TRUST,AGGRE,AGGREGATE SITE,AGGREGATE SITE,17783.00,17783.00,36.80,49577.00,6478.00,2.59,7759.00,10024.00,0.00,0.00,0.00,0.00,0.00,0.00,81.59,1.69,0.00,7.80,6.80,0.00,0.00,2.12,100.00,0.00,17699.00,50581.00,0.00,20228.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2377436.00,6021506.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,362410.00,13066.00,30022.00,0.00,0.00,23004.00,0.00,60.00,0.00,0.00,2.27,1.00,None,307.00,0.00,19.00,283.00,0.00,224.00
5N2,KIRKLEES PCT,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY,PRIMARY CARE TRUST,5N219,HOLME VALLEY MEMORIAL HOSPITAL,SHORT TERM NON-ACUTE HOSPITAL,3150.00,2577.00,100.00,8143.00,1674.00,1.97,600.00,1977.00,50.00,10.00,20.00,19.00,5.00,0.00,31.24,27.49,0.00,0.00,0.00,0.00,0.00,41.27,100.00,270375.00,270375.00,378525.00,162225.00,648900.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,248749.00,1348022.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,71340.00,2704.00,8555.00,5.82,4617.00,7919.00,0.00,27.80,0.00,0.00,15.60,715.00,No,65.00,0.00,2.00,65.00,0.00,0.00
5N2,KIRKLEES PCT,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY,PRIMARY CARE TRUST,AGGRE,AGGREGATE SITE,AGGREGATE SITE,15469.00,11625.00,100.00,39987.00,9526.00,4.01,5595.00,6031.00,0.00,0.65,0.00,0.00,0.00,0.00,70.64,6.50,9.13,4.81,0.00,4.34,0.00,4.58,100.00,0.00,370916.00,124667.00,106571.00,394040.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1208299.00,2274590.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,217978.00,3448.00,11450.00,16.87,20462.00,33229.00,0.00,131.90,0.15,210.00,0.00,0.00,No,327.00,0.00,31.00,199.00,0.00,97.00
5N4,SHEFFIELD PCT,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY,PRIMARY CARE TRUST,5N4J2,BEECH HILL,SHORT TERM NON-ACUTE HOSPITAL,1880.00,1880.00,0.00,5500.00,1551.00,0.84,1622.00,258.00,0.00,0.00,31.00,31.00,31.00,0.00,0.00,66.50,0.00,0.00,0.00,0.00,0.00,33.50,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,157326.00,807281.00,0.00,0.00,0.00,0.00,0.00,39331.00,0.00,37001.00,1907.00,5108.00,0.38,312.00,5604.00,3.37,2.70,0.00,0.00,16.57,4305.00,No,21.00,0.00,2.00,21.00,0.00,21.00
5N4,SHEFFIELD PCT,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY,PRIMARY CARE TRUST,AGGRE,AGGREGATE SITE,AGGREGATE SITE,22249.00,22249.00,45.00,56467.00,14958.00,4.26,8563.00,14820.00,0.00,1.00,0.00,0.00,0.00,0.00,17.47,13.58,2.70,8.79,19.29,3.00,0.06,35.11,100.00,0.00,0.00,50000.00,30000.00,5909.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1207895.00,1781687.00,0.00,0.00,0.00,0.00,0.00,30197.00,198000.00,263413.00,6772.00,30551.00,3.77,3126.00,38678.00,10.97,16.18,2.14,514.00,99.11,25751.00,No,288.00,0.00,20.00,288.00,0.00,313.00
5N7,DERBY CITY PCT,EAST MIDLANDS STRATEGIC HEALTH AUTHORITY,PRIMARY CARE TRUST,5N703,"PEARTREE CLINIC, PEAR TREE ROAD",TREATMENT CENTRE,655.00,655.00,100.00,1087.00,454.00,0.14,142.00,395.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00,100.00,0.00,0.00,84.00,74.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,38822.00,113800.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8044.00,212.00,576.00,1641.00,2287.00,1388.00,0.00,3.57,0.00,0.00,2.25,266.00,None,19.00,0.00,2.00,6.00,0.00,11.00
5N7,DERBY CITY PCT,EAST MIDLANDS STRATEGIC HEALTH AUTHORITY,PRIMARY CARE TRUST,5N706,SINFIN HEALTH CENTRE,TREATMENT CENTRE,985.00,985.00,100.00,1570.00,985.00,0.20,689.00,264.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,11.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,64889.00,191775.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,13511.00,134.00,635.00,1.45,2079.00,969.00,0.00,3.64,0.00,0.00,2.45,289.00,None,6.00,0.00,0.00,0.00,0.00,6.00
5N7,DERBY CITY PCT,EAST MIDLANDS STRATEGIC HEALTH AUTHORITY,PRIMARY CARE TRUST,5N709,"THE VILLAGE COMMUNITY MEDICAL CENTRE, BROWNING STREET",GP PROPERTY,2298.00,2298.00,100.00,3279.00,1154.00,0.40,399.00,1899.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,78656.00,99575.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11062.00,472.00,1390.00,4.12,3138.00,146459.00,0.00,6.37,0.00,0.00,2.60,307.00,None,43.00,0.00,3.00,32.00,0.00,8.00
5N7,DERBY CITY PCT,EAST MIDLANDS STRATEGIC HEALTH AUTHORITY,PRIMARY CARE TRUST,5N710,"DERBY WALK IN CENTRE, OSMASTON ROAD",TREATMENT CENTRE,752.00,752.00,100.00,1165.00,752.00,0.10,257.00,495.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00,11.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,117311.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10558.00,0.00,0.00,3.98,2794.00,1394.00,0.00,6.72,0.00,0.00,2.30,271.00,None,11.00,0.00,2.00,11.00,0.00,0.00
5N7,DERBY CITY PCT,EAST MIDLANDS STRATEGIC HEALTH AUTHORITY,PRIMARY CARE TRUST,5N716,"KINGS MEAD CLINIC, KEDLESTON STREET",TREATMENT CENTRE,300.00,300.00,100.00,543.00,300.00,0.03,233.00,67.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,100.00,0.00,0.00,0.00,79.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,40122.00,103250.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7741.00,0.00,0.00,1450.00,1003.00,1159.00,0.00,3.43,0.00,0.00,1.25,148.00,None,0.00,0.00,0.00,0.00,0.00,0.00
5N7,DERBY CITY PCT,EAST MIDLANDS STRATEGIC HEALTH AUTHORITY,PRIMARY CARE TRUST,5N717,COLEMAN MEDICAL CENTRE,GP PROPERTY,3075.00,3075.00,100.00,5140.00,1704.00,0.50,605.00,2470.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,249433.00,302525.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,34550.00,823.00,2110.00,3942.00,3452.00,3015.00,0.00,14.49,0.00,0.00,4.05,478.00,None,64.00,0.00,4.00,60.00,0.00,0.00
5N7,DERBY CITY PCT,EAST MIDLANDS STRATEGIC HEALTH AUTHORITY,PRIMARY CARE TRUST,5N718,"REVIVE HEALTHY LIVING CENTRE, ROE FARM LANE",TREATMENT CENTRE,496.00,496.00,100.00,881.00,765.00,0.40,102.00,394.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,21000.00,11.00,84000.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,57444.00,145650.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10996.00,0.00,0.00,3.09,3594.00,561.00,0.00,0.00,0.00,0.00,0.00,0.00,None,0.00,0.00,0.00,0.00,0.00,0.00
5N7,DERBY CITY PCT,EAST MIDLANDS STRATEGIC HEALTH AUTHORITY,PRIMARY CARE TRUST,5N720,"BRADSHAW CLINIC, 1 CHARNWOOD STREET",TREATMENT CENTRE,297.00,297.00,100.00,598.00,179.00,0.09,179.00,116.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,100.00,0.00,21000.00,10500.00,84000.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,107756.00,113375.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,14233.00,299.00,278.00,0.89,1383.00,528.00,0.00,1.75,0.00,0.00,1.30,153.00,None,0.00,0.00,0.00,0.00,0.00,0.00
5N7,DERBY CITY PCT,EAST MIDLANDS STRATEGIC HEALTH AUTHORITY,PRIMARY CARE TRUST,AGGRE,AGGREGATE SITE,AGGREGATE SITE,8340.00,8340.00,100.00,15798.00,1390.00,0.14,0.00,8340.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00,100.00,0.00,10500.00,136500.00,31500.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,542078.00,395125.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,64592.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,None,0.00,0.00,0.00,0.00,0.00,0.00
5N8,NOTTINGHAMSHIRE COUNTY TEACHING PCT,EAST MIDLANDS STRATEGIC HEALTH AUTHORITY,PRIMARY CARE TRUST,AGGRE,AGGREGATE SITE,AGGREGATE SITE,64297.00,47617.00,93.00,215246.00,83645.00,8.40,13792.00,3163.00,7.00,8.00,191.00,183.00,8.00,40.00,25.00,14.00,27.00,7.00,16.00,0.00,0.00,11.00,100.00,1191.00,32899.00,92963.00,75286.00,119366.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5110667.00,14522600.00,10.00,100030.00,0.00,0.00,0.00,21900.00,0.00,900000.00,33165.00,147000.00,18.60,24000.00,107804.00,74.50,22.50,0.30,377.00,127.88,49000.00,Yes,1628.00,1.50,145.00,1166.00,0.00,714.00
5NA,REDBRIDGE PCT,LONDON STRATEGIC HEALTH AUTHORITY,PRIMARY CARE TRUST,5NA03,REDBRIDGE LEARNING DISABILITIES CLINIC 30 COLERIDGE ROAD,TREATMENT CENTRE,862.00,862.00,100.00,2041.00,485.00,0.29,541.00,218.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00,44016.00,138963.00,7319.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,60978.00,70590.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9540.00,1076.00,2356.00,0.00,0.00,1690.00,0.00,0.36,0.00,0.00,0.48,962.00,No,16.00,0.00,2.00,16.00,0.00,16.00
