Organisation Code,Organisation Name,Commissioning Region,Organisation Type,Site Code,Site Name,Site Type,Gross internal site floor area (m²),Occupied floor area (m²),NHS estate Occupied Floor Area (%),Site Heated Volume (m³),Site footprint (m²),Site land area (Hectare),Patient occupied floor area (m²),Non-patient occupied floor area (m²),Not functionally suitable (%),Un-utilised Space (%),Available beds (No.),Single bedrooms for patients with en-suite facilities (No.),Single bedrooms for patients without en-suite facilities (No.),Occupied beds (No.),Age Profile - 2005 to present (%),Age Profile - 1995 to 2004 (%),Age Profile - 1985 to 1994 (%),Age Profile - 1975 to 1984 (%),Age Profile - 1965 to 1974 (%),Age Profile - 1955 to 1964 (%),Age Profile - 1948 to 1954 (%),Age Profile - pre 1948 (%),Age Profile - Total (must equal 100%) (%),Cost to eradicate High Risk Backlog (£),Cost to eradicate Significant Risk Backlog (£),Cost to eradicate Moderate Risk Backlog (£),Cost to eradicate Low Risk Backlog (£),Risk Adjusted Backlog Cost (£),Number of CHP units operated on the site (No.),Total full load rating of the electrical generator plant (kW),Total fossil energy input to the CHP system/s (kWh),Total thermal energy output of the CHP system/s (kWh),Total electrical energy output of the CHP system/s (kWh),Total exported electricity for the site (kWh),Total exported thermal energy for the site (kWh),Electricity Consumed - Utility (kWh),Gas Consumed - Utility (kWh),Oil  Consumed - Utility (kWh),Coal Consumed - Utility (kWh),Electricity Consumed - Local (kWh),Steam Consumed - Local (kWh),Hot Water Consumed - Local (kWh),Electricity Consumed - Renewable (kWh),Non-fossil fuel Consumed - Renewable (kWh),"Total Energy Cost (all energy supplies, utility, local & renewable) (£)",Water volume (including Borehole) (m³),Water and Sewage Cost (£),High Temperature Disposal Waste Weight (Tonnes),High Temperature Disposal Waste Cost (£),Total Waste Cost (£),Non Burn Treatment (Alternative Treatment Plant) Disposal Waste Weight (Tonnes),Landfill Disposal Waste Weight (Tonnes),Waste Electrical and Electronic Equipment (WEEE) Weight (Tonnes),Waste Electrical and Electronic Equipment (WEEE) Cost (£),Waste recovery/recycling volume (%),Waste recovery/recycling cost (%),Visitor/Staff concession scheme provided (Yes/No),Total parking spaces available (No.),Average fee charged per hour for patient/visitor parking (£),Total disabled parking spaces (No.),Total parking spaces available for patients/visitors (No.),Average fee charged per hour for Staff parking (£),Total parking spaces available for staff (No.)
5P5,SURREY PCT,SOUTH EAST COAST STRATEGIC HEALTH AUTHORITY,PRIMARY CARE TRUST,5P503,HASLEMERE AND DISTRICT HOSPITAL,COMMUNITY HOSPITAL,6140.00,5570.00,100.00,14500.00,5118.00,1.70,3442.00,1788.00,0.00,0.00,30.00,0.00,0.00,30.00,6.60,0.00,0.00,16.70,15.90,9.20,0.00,51.60,100.00,178740.00,208470.00,122890.00,36410.00,396334.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,386644.00,1771973.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,78531.00,3030.00,5616.00,8.46,7913.00,7913.00,0.00,0.00,0.00,0.00,0.00,0.00,No,99.00,0.00,4.00,42.00,0.00,53.00
5P5,SURREY PCT,SOUTH EAST COAST STRATEGIC HEALTH AUTHORITY,PRIMARY CARE TRUST,5P504,CRANLEIGH VILLAGE HOSPITAL,COMMUNITY HOSPITAL,2641.00,2555.00,100.00,7180.00,2463.00,0.40,1395.00,749.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,14.10,28.20,0.00,0.00,57.70,100.00,6200.00,121792.00,218358.00,275413.00,153603.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,99390.00,632882.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,21580.00,335.00,926.00,0.52,2098.00,2098.00,0.00,0.00,0.00,0.00,0.00,0.00,No,72.00,0.00,4.00,72.00,0.00,0.00
5P5,SURREY PCT,SOUTH EAST COAST STRATEGIC HEALTH AUTHORITY,PRIMARY CARE TRUST,5P509,WALTON COMMUNITY HOSPITAL,COMMUNITY HOSPITAL,2620.00,2425.00,100.00,7054.00,2340.00,0.61,1830.00,500.00,0.00,0.00,46.00,2.00,2.00,36.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,28860.00,20800.00,15050.00,29858.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,334396.00,1107465.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,49802.00,3488.00,5746.00,31.61,19237.00,19237.00,0.00,0.00,0.00,0.00,0.00,0.00,No,36.00,0.00,2.00,36.00,0.00,36.00
5P5,SURREY PCT,SOUTH EAST COAST STRATEGIC HEALTH AUTHORITY,PRIMARY CARE TRUST,5P510,WEYBRIDGE COMMUNITY HOSPITAL,COMMUNITY HOSPITAL,2984.00,2850.00,86.00,8002.00,1410.00,0.84,1360.00,1128.00,0.00,0.00,10.00,0.00,10.00,10.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,2000.00,10200.00,9200.00,2598.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,421500.00,804938.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,51771.00,2519.00,4616.00,23.00,20261.00,20261.00,0.00,0.00,0.00,0.00,0.00,0.00,No,117.00,0.60,4.00,34.00,0.00,79.00
5P5,SURREY PCT,SOUTH EAST COAST STRATEGIC HEALTH AUTHORITY,PRIMARY CARE TRUST,5P537,WOKING COMMUNITY HOSPITAL,COMMUNITY HOSPITAL,5670.00,4720.00,99.87,13664.00,1660.00,2.43,3941.00,632.00,0.00,0.00,79.00,1.00,39.00,75.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,104850.00,105664.00,334340.00,120997.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,959896.00,1922381.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,121706.00,7539.00,11308.00,158.18,46723.00,46723.00,0.00,0.00,0.00,0.00,0.00,0.00,No,173.00,1.00,11.00,116.00,0.00,46.00
5P5,SURREY PCT,SOUTH EAST COAST STRATEGIC HEALTH AUTHORITY,PRIMARY CARE TRUST,5P53X,FARNHAM HOSPITAL,SHORT TERM NON-ACUTE HOSPITAL,11500.00,11500.00,92.60,29187.00,6400.00,0.96,8600.00,1200.00,0.00,0.00,84.00,84.00,0.00,53.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00,19644.00,2120.00,558.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1422270.00,2592671.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,182984.00,14830.00,21937.00,44.43,25523.00,25523.00,0.00,0.00,0.00,0.00,0.00,0.00,No,344.00,0.00,12.00,297.00,0.00,47.00
5P5,SURREY PCT,SOUTH EAST COAST STRATEGIC HEALTH AUTHORITY,PRIMARY CARE TRUST,5P53Y,MILFORD SPECIALIST REHAB HOSPITAL,SHORT TERM NON-ACUTE HOSPITAL,3417.00,3417.00,100.00,8017.00,3019.00,0.97,2210.00,1109.00,0.00,0.00,40.00,2.00,0.00,40.00,0.00,0.00,0.00,65.90,0.00,0.00,0.00,34.10,100.00,4000.00,64700.00,131130.00,6700.00,77053.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,382592.00,1515538.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,70957.00,5504.00,10511.00,10.78,8651.00,8651.00,0.00,0.00,0.00,0.00,0.00,0.00,No,114.00,0.00,10.00,114.00,0.00,114.00
5P5,SURREY PCT,SOUTH EAST COAST STRATEGIC HEALTH AUTHORITY,PRIMARY CARE TRUST,5P550,COBHAM COMMUNITY HOSPITAL,COMMUNITY HOSPITAL,3155.00,2927.00,55.00,2671.00,1480.00,0.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,2800.00,3300.00,600.00,3100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,284700.00,597812.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,35860.00,1137.00,2617.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,No,50.00,0.00,2.00,50.00,0.00,50.00
5P5,SURREY PCT,SOUTH EAST COAST STRATEGIC HEALTH AUTHORITY,PRIMARY CARE TRUST,5P552,DORKING GENERAL HOSPITAL,GENERAL ACUTE HOSPITAL,3040.00,2620.00,100.00,8476.00,2520.00,0.93,2160.00,560.00,0.00,0.00,12.00,0.00,4.00,12.00,0.00,29.00,0.00,53.00,0.00,18.00,0.00,0.00,100.00,0.00,6951.00,542607.00,709919.00,58794.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,251778.00,904451.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,48095.00,1916.00,3640.00,4.37,2918.00,2918.00,0.00,0.00,0.00,0.00,0.00,0.00,No,50.00,0.00,2.00,50.00,0.00,50.00
5P5,SURREY PCT,SOUTH EAST COAST STRATEGIC HEALTH AUTHORITY,PRIMARY CARE TRUST,5P571,MOLESLEY HOSPITAL,COMMUNITY HOSPITAL,1102.00,1021.00,100.00,2851.00,0.00,0.51,0.00,0.00,0.00,0.00,12.00,0.00,4.00,12.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,100.00,0.00,10050.00,10346.00,505374.00,38701.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,67711.00,510426.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,18706.00,684.00,1320.00,5.26,6275.00,6275.00,0.00,0.00,0.00,0.00,0.00,0.00,No,50.00,0.00,2.00,50.00,0.00,50.00
5P5,SURREY PCT,SOUTH EAST COAST STRATEGIC HEALTH AUTHORITY,PRIMARY CARE TRUST,5P581,NEW EPSOM AND EWELL COTTAGE HOSPITAL,COMMUNITY HOSPITAL,1732.00,1652.00,100.00,2520.00,0.00,1.60,0.00,0.00,0.00,0.00,15.00,2.00,0.00,13.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00,100.00,2000.00,719730.00,209864.00,150004.00,733937.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,109074.00,961812.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,26313.00,1659.00,3271.00,5.06,2813.00,2813.00,0.00,0.00,0.00,0.00,0.00,0.00,No,60.00,0.00,4.00,60.00,0.00,60.00
5P5,SURREY PCT,SOUTH EAST COAST STRATEGIC HEALTH AUTHORITY,PRIMARY CARE TRUST,5P583,LEATHERHEAD HOSPITAL,COMMUNITY HOSPITAL,2865.00,2720.00,100.00,7310.00,2535.00,4.10,1099.00,962.00,0.00,0.00,21.00,0.00,0.00,15.00,0.00,6.48,10.33,4.92,0.69,0.00,0.00,77.58,100.00,0.00,154000.00,1153827.00,96212.00,209165.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,182727.00,1634197.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,47181.00,2457.00,4553.00,5.20,4666.00,4666.00,0.00,0.00,0.00,0.00,0.00,0.00,No,100.00,0.00,4.00,100.00,0.00,100.00
5P5,SURREY PCT,SOUTH EAST COAST STRATEGIC HEALTH AUTHORITY,PRIMARY CARE TRUST,5P585,CATERHAM DENE COMMUNITY HOSPITAL,SHORT TERM NON-ACUTE HOSPITAL,2739.00,2678.00,97.00,7615.00,2314.00,2.54,2.00,845.00,0.00,0.00,28.00,0.00,2.00,28.00,0.00,0.00,0.00,70.00,0.00,0.00,0.00,30.00,100.00,16400.00,110850.00,74510.00,39050.00,135594.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,157827.00,1204608.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,37455.00,2707.00,4817.00,10.77,8601.00,8601.00,0.00,0.00,0.00,0.00,0.00,0.00,No,60.00,0.00,3.00,40.00,0.00,20.00
5P5,SURREY PCT,SOUTH EAST COAST STRATEGIC HEALTH AUTHORITY,PRIMARY CARE TRUST,AGGRE,AGGREGATE SITE,AGGREGATE SITE,28054.00,19052.00,100.00,85562.00,22922.00,2.81,16368.00,6352.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,109586.00,3392982.00,2342560.00,1635016.00,3737933.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1666292.00,3877989.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,225620.00,14593.00,29931.00,112.94,135994.00,135994.00,0.00,0.00,9.36,0.00,0.00,0.00,No,0.00,0.00,0.00,0.00,0.00,0.00
5P7,EAST SUSSEX DOWNS AND WEALD PCT,SOUTH EAST COAST STRATEGIC HEALTH AUTHORITY,PRIMARY CARE TRUST,5P701,LEWES VICTORIA HOSPITAL,COMMUNITY HOSPITAL,2656.00,2514.00,95.00,6763.00,2344.00,1.17,1785.00,654.00,0.00,0.00,30.00,6.00,0.00,30.00,2.00,5.00,35.00,0.00,13.00,0.00,0.00,45.00,100.00,0.00,0.00,0.00,38500.00,51.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,326556.00,1185000.00,0.00,0.00,0.00,0.00,0.00,114736.00,0.00,64474.00,2988.00,8090.00,1.43,573.00,13833.00,31.31,22.56,0.07,0.00,0.21,0.00,No,64.00,0.00,6.00,64.00,0.00,64.00
5P7,EAST SUSSEX DOWNS AND WEALD PCT,SOUTH EAST COAST STRATEGIC HEALTH AUTHORITY,PRIMARY CARE TRUST,5P703,UCKFIELD HOSPITAL,COMMUNITY HOSPITAL,5336.00,3370.00,63.00,9076.00,1734.00,1.40,2427.00,943.00,0.00,0.00,30.00,5.00,0.00,21.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00,34000.00,0.00,1096.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,241330.00,825870.00,0.00,0.00,0.00,0.00,0.00,84791.00,0.00,47776.00,2495.00,6603.00,12.08,5391.00,10263.00,0.00,87.20,0.00,0.00,0.00,0.00,No,126.00,0.00,8.00,82.00,0.00,36.00
5P7,EAST SUSSEX DOWNS AND WEALD PCT,SOUTH EAST COAST STRATEGIC HEALTH AUTHORITY,PRIMARY CARE TRUST,5P705,CROWBOROUGH WAR MEMORIAL HOSPITAL,COMMUNITY HOSPITAL,2872.00,2531.00,88.00,6823.00,2119.00,0.84,1899.00,632.00,0.00,0.00,18.00,8.00,0.00,17.00,0.00,0.00,90.00,0.00,0.00,0.00,0.00,10.00,100.00,0.00,10000.00,0.00,0.00,10000.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,187247.00,858798.00,0.00,0.00,0.00,0.00,0.00,65789.00,0.00,45081.00,2019.00,6563.00,7.75,3837.00,6826.00,0.00,48.00,0.13,0.00,0.24,0.00,No,51.00,0.00,4.00,33.00,0.00,18.00
5P7,EAST SUSSEX DOWNS AND WEALD PCT,SOUTH EAST COAST STRATEGIC HEALTH AUTHORITY,PRIMARY CARE TRUST,AGGRE,AGGREGATE SITE,AGGREGATE SITE,27032.00,20746.00,77.00,59104.00,14541.00,5.45,10948.00,10110.00,4.00,1.20,21.00,21.00,0.00,19.00,4.00,31.00,35.00,3.00,17.00,4.00,0.00,6.00,100.00,0.00,0.00,682500.00,295000.00,45781.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1017483.00,2904563.00,0.00,0.00,0.00,0.00,0.00,233478.00,0.00,179717.00,10647.00,24633.00,4.08,8019.00,34662.00,28.32,180.58,0.68,0.00,27.46,36.00,No,431.00,0.00,43.00,366.00,0.00,95.00
5P8,HASTINGS AND ROTHER PCT,SOUTH EAST COAST STRATEGIC HEALTH AUTHORITY,PRIMARY CARE TRUST,5P802,BEXHILL HOSPITAL,GENERAL ACUTE HOSPITAL,6471.00,4035.00,62.00,10827.00,2510.00,2.43,2656.00,1377.00,0.00,0.00,42.00,3.00,7.00,39.00,4.00,13.00,0.00,0.00,0.00,33.00,0.00,50.00,100.00,0.00,78500.00,26000.00,58500.00,82020.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,383864.00,1786667.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,76994.00,9012.00,26793.00,13.50,5486.00,12766.00,0.00,102.49,0.09,0.00,0.12,0.00,No,108.00,0.00,6.00,59.00,0.00,49.00
5P8,HASTINGS AND ROTHER PCT,SOUTH EAST COAST STRATEGIC HEALTH AUTHORITY,PRIMARY CARE TRUST,5P803,"ARTHUR BLACKMAN CLINIC, ST. LEONARDS-ON-SEA",TREATMENT CENTRE,404.00,404.00,100.00,1090.00,262.00,0.26,113.00,167.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00,100.00,0.00,20000.00,10000.00,0.00,20416.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,25601.00,152620.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6763.00,148.00,625.00,0.71,1242.00,3367.00,1.45,15.60,0.00,0.00,11.71,8.00,No,14.00,0.00,1.00,7.00,0.00,7.00
5P8,HASTINGS AND ROTHER PCT,SOUTH EAST COAST STRATEGIC HEALTH AUTHORITY,PRIMARY CARE TRUST,5P808,"ORE CLINIC, HASTINGS",TREATMENT CENTRE,573.00,573.00,100.00,1547.00,400.00,0.18,308.00,266.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20.00,0.00,0.00,0.00,80.00,0.00,0.00,100.00,0.00,0.00,0.00,4000.00,166.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,16254.00,90630.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4900.00,217.00,643.00,0.39,378.00,1807.00,1.22,10.10,0.00,0.00,0.00,0.00,No,22.00,0.00,0.00,12.00,0.00,10.00
5P8,HASTINGS AND ROTHER PCT,SOUTH EAST COAST STRATEGIC HEALTH AUTHORITY,PRIMARY CARE TRUST,5P810,"RYE MEMORIAL CARE CENTRE, PEASMARSH ROAD",TREATMENT CENTRE,1129.00,658.00,58.00,2222.00,658.00,0.50,600.00,58.00,0.00,0.00,14.00,3.00,2.00,8.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,20000.00,2000.00,2000.00,20166.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,57624.00,376790.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20560.00,465.00,1481.00,1.52,914.00,2912.00,2.76,0.00,0.00,0.00,0.00,0.00,No,76.00,0.00,6.00,56.00,0.00,14.00
5P8,HASTINGS AND ROTHER PCT,SOUTH EAST COAST STRATEGIC HEALTH AUTHORITY,PRIMARY CARE TRUST,5P812,WEST HOUSE,TREATMENT CENTRE,1901.00,960.00,81.60,3637.00,566.00,0.25,939.00,611.00,40.00,39.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,100.00,0.00,1000000.00,1500000.00,0.00,1082142.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,62037.00,251440.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,12927.00,314.00,1085.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,No,16.00,0.00,2.00,10.00,0.00,6.00
5P8,HASTINGS AND ROTHER PCT,SOUTH EAST COAST STRATEGIC HEALTH AUTHORITY,PRIMARY CARE TRUST,AGGRE,AGGREGATE SITE,AGGREGATE SITE,4334.00,4197.00,97.00,10689.00,1139.00,0.74,3022.00,1174.00,0.00,0.00,0.00,0.00,0.00,0.00,85.30,0.00,1.30,8.60,0.00,4.80,0.00,0.00,100.00,0.00,0.00,8100.00,7000.00,917.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,229513.00,187342.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,48454.00,1118.00,3179.00,0.67,3420.00,8654.00,4.80,33.15,0.03,0.00,0.26,0.00,No,67.00,0.00,11.00,27.00,0.00,67.00
5P9,WEST KENT PCT,SOUTH EAST COAST STRATEGIC HEALTH AUTHORITY,PRIMARY CARE TRUST,5P902,SEVENOAKS HOSPITAL,COMMUNITY HOSPITAL,5802.00,5318.00,100.00,13925.00,2789.00,1.47,2296.00,1708.00,0.00,18.00,24.00,0.00,0.00,22.00,0.00,0.00,0.00,0.00,41.00,0.00,0.00,59.00,100.00,16000.00,250000.00,516500.00,116000.00,287563.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,528046.00,1604035.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,85233.00,4834.00,8218.00,74.44,12323.00,17839.00,4.00,2.00,1.00,212.00,19.00,15.00,No,127.00,0.60,5.00,57.00,0.00,61.00
5P9,WEST KENT PCT,SOUTH EAST COAST STRATEGIC HEALTH AUTHORITY,PRIMARY CARE TRUST,5P903,TONBRIDGE COTTAGE HOSPITAL,COMMUNITY HOSPITAL,1997.00,1883.00,100.00,4837.00,2001.00,2.72,980.00,754.00,10.00,24.00,23.00,2.00,3.00,22.00,0.00,21.00,0.00,0.00,0.00,0.00,0.00,79.00,100.00,130000.00,22500.00,15000.00,25000.00,156944.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,220200.00,628356.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,39267.00,2745.00,8281.00,36.18,4560.00,7873.00,5.00,2.00,0.00,0.00,6.00,5.00,No,60.00,0.00,1.00,54.00,0.00,6.00
5P9,WEST KENT PCT,SOUTH EAST COAST STRATEGIC HEALTH AUTHORITY,PRIMARY CARE TRUST,5P904,EDENBRIDGE WAR MEMORIAL HOSPITAL,COMMUNITY HOSPITAL,2184.00,2030.00,100.00,5528.00,1749.00,1.09,900.00,935.00,0.00,30.00,17.00,7.00,0.00,15.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,100.00,76000.00,15000.00,60000.00,75000.00,95655.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,168878.00,629537.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,30592.00,1338.00,3808.00,15.92,2914.00,5327.00,2.91,0.10,0.06,125.00,4.00,7.00,No,43.00,0.00,2.00,43.00,0.00,43.00
5P9,WEST KENT PCT,SOUTH EAST COAST STRATEGIC HEALTH AUTHORITY,PRIMARY CARE TRUST,5P915,HAWKHURST HOSPITAL,COMMUNITY HOSPITAL,1544.00,1434.00,100.00,3584.00,1491.00,0.89,857.00,376.00,0.00,20.00,22.00,13.00,0.00,20.00,0.00,29.45,6.25,19.87,12.39,0.00,0.00,32.04,100.00,70000.00,45000.00,41500.00,0.00,116792.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,12956.00,469378.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,25946.00,1685.00,5048.00,20.07,2877.00,5183.00,2.00,2.00,0.49,166.00,20.00,16.00,No,38.00,0.00,3.00,28.00,0.00,10.00
5P9,WEST KENT PCT,SOUTH EAST COAST STRATEGIC HEALTH AUTHORITY,PRIMARY CARE TRUST,5P926,LIVINGSTONE HOSPITAL,COMMUNITY HOSPITAL,2227.00,2083.00,100.00,5409.00,1962.00,0.69,627.00,1154.00,0.00,0.00,29.00,0.00,0.00,25.00,0.00,5.00,9.00,0.00,18.00,7.00,0.00,61.00,100.00,0.00,120000.00,165000.00,105000.00,131250.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,187284.00,703635.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,37437.00,3372.00,6352.00,46.35,6457.00,8560.00,0.00,2.00,0.00,0.00,25.00,14.00,No,48.00,0.00,4.00,32.00,0.00,16.00
5P9,WEST KENT PCT,SOUTH EAST COAST STRATEGIC HEALTH AUTHORITY,PRIMARY CARE TRUST,5P927,GRAVESHAM COMMUNITY HOSPITAL,COMMUNITY HOSPITAL,5068.00,5068.00,100.00,13177.00,1540.00,1.24,2768.00,1500.00,0.00,5.00,17.00,22.00,0.00,16.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,642593.00,1024922.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,78900.00,11520.00,8392.00,12.29,4509.00,10023.00,12.29,26.68,0.26,120.00,100.00,100.00,No,135.00,0.27,9.00,27.00,0.00,108.00
5P9,WEST KENT PCT,SOUTH EAST COAST STRATEGIC HEALTH AUTHORITY,PRIMARY CARE TRUST,AGGRE,AGGREGATE SITE,AGGREGATE SITE,24968.00,22515.00,100.00,57534.00,13173.00,3.63,5384.00,9799.00,13.30,12.70,0.00,0.00,0.00,0.00,19.00,7.00,11.00,25.00,3.00,11.00,3.00,21.00,100.00,95000.00,59000.00,254000.00,188000.00,185219.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1172871.00,1847830.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,177343.00,6387.00,17605.00,123.78,22853.00,44496.00,12.61,8.00,0.84,759.00,19.00,14.00,No,563.00,0.00,29.00,271.00,0.00,293.00
5PA,LEICESTERSHIRE COUNTY AND RUTLAND PCT,EAST MIDLANDS STRATEGIC HEALTH AUTHORITY,PRIMARY CARE TRUST,5PA18,MELTON MOWBRAY HOSPITAL,COMMUNITY HOSPITAL,11469.00,11469.00,100.00,33719.00,7015.00,3.78,2500.00,8969.00,0.00,45.00,25.00,8.00,1.00,17.00,41.00,0.00,0.00,0.00,0.00,0.00,0.00,59.00,100.00,0.00,117000.00,175000.00,122000.00,128423.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,906459.00,2206108.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,123295.00,6155.00,17296.00,16.50,7680.00,14550.00,0.00,41.49,0.00,0.00,0.00,0.00,No,180.00,0.00,18.00,180.00,0.00,180.00
5PA,LEICESTERSHIRE COUNTY AND RUTLAND PCT,EAST MIDLANDS STRATEGIC HEALTH AUTHORITY,PRIMARY CARE TRUST,5PAAC,LOUGHBOROUGH HOSPITAL,COMMUNITY HOSPITAL,23528.00,23528.00,100.00,69172.00,10605.00,4.02,8525.00,4200.00,0.00,0.00,72.00,2.00,14.00,69.00,51.50,0.00,48.50,0.00,0.00,0.00,0.00,0.00,100.00,0.00,210000.00,570000.00,328000.00,238968.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1710193.00,4548684.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,250342.00,15768.00,35009.00,102.63,32534.00,51906.00,0.00,196.78,0.00,0.00,0.00,0.00,No,254.00,0.00,12.00,254.00,0.00,254.00
5PA,LEICESTERSHIRE COUNTY AND RUTLAND PCT,EAST MIDLANDS STRATEGIC HEALTH AUTHORITY,PRIMARY CARE TRUST,5PACA,COALVILLE COMMUNITY HOSPITAL,COMMUNITY HOSPITAL,10127.00,10127.00,100.00,29773.00,5188.00,3.12,3065.00,1650.00,0.00,0.00,96.00,8.00,0.00,85.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,670000.00,175000.00,375000.00,691154.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,731371.00,2177653.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,112820.00,3435.00,7563.00,38.45,15654.00,19181.00,0.00,45.37,0.00,0.00,0.00,0.00,No,120.00,0.00,4.00,120.00,0.00,120.00
