Trust Code,Trust Name,Commissioning Region,Trust Type,Site Code,Site Name,Site Type,Tenure,Leasehold Type,Post Code,Estates and facilities finance costs (£),Indirect accommodation subsidies (£),Estates and property maintenance (£),Grounds and gardens maintenance (£),Electro Bio Medical Equipment maintenance cost (£),Other Hard FM (Estates) costs (£),Other Soft FM (Hotel Services) costs (£),Gross internal floor area (m²),Occupied floor area (m²),NHS estate occupied floor area (%),Site heated volume (m³),Land area owned (Hectares),Land area not delivering services (Hectares),Clinical space (m²),Non-clinical space (m²),Private patient (m²),Pathology (m²),Clinical Sterile Services Dept. (m²),Medical records (m²),Human Resources (m²),Information Technology (m²),General Administration (m²),Restaurants (m²),Staff Accommodation (m²),Retail sales area (m²),Income from areas leased out for retail sales (£),Not functionally suitable - occupied floor area (%),Not functionally suitable - patient occupied floor area (%),Floor area - empty (%),Floor area - under used (%),Single bedrooms for patients with en-suite facilities (No.),Single bedrooms for patients without en-suite facilities (No.),Isolation rooms (No.),Cost to eradicate high risk backlog (£),Cost to eradicate significant risk backlog (£),Cost to eradicate moderate risk backlog (£),Cost to eradicate low risk backlog (£),CHP units operated on the site (No.),CHP unit/s size (Watts),CHP unit/s efficiency (%),Fossil energy input to CHP system/s (kWh),Thermal energy output of CHP system/s (kWh),Electrical energy output of CHP system/s (kWh),Exported electricity (kWh),Exported thermal energy (kWh),Energy costs (all energy supplies) (£),Electricity consumed (kWh),Gas consumed (kWh),Oil consumed (kWh),Coal consumed (kWh),Steam consumed (kWh),Hot water consumed (kWh),Electricity consumed - green energy tariff (kWh),Electricity consumed - third party owned renewable (kWh),Non-fossil fuel consumed - renewable (kWh),Electrical energy output of owned onsite renewables (kWh),Water cost (£),Sewerage cost (£),Water volume (including borehole) (m³),Landfill disposal cost (£),Landfill disposal volume (Tonnes),Incineration disposal cost (£),Incineration disposal volume (Tonnes),Waste reycling cost (£),Waste reycling volume (Tonnes),Other recovery cost (£),Other recovery volume (Tonnes),Car parking services cost (£),Parking spaces available (No.),Designated disabled parking spaces (No.),Electric vehicle charging points (No.),Average fee charged per hour for patient/visitor parking (£),Average fee charged per hour for staff parking (£),Is there a charge for disabled parking (select),Cleaning service cost (£),Cleaning staff (WTE),Inpatient food service cost (£),Inpatient main meals requested (No.),Cost of feeding one inpatient per day (inpatient meal day) (£),Unserved meals: Starters (Kg),Unserved meals: Mains (Kg),Unserved meals: Desserts (Kg),Laundry and linen service cost (£),Pieces per annum (No.),Laundry and linen service used (Select),Onsite laundry that could provide services to other organisations (Select),Portering service cost (£),Portering staff (WTE)
R1L,ESSEX PARTNERSHIP UNIVERSITY NHS FOUNDATION TRUST,MIDLANDS AND EAST OF ENGLAND COMMISSIONING REGION,ACUTE - MULTI-SERVICE,R1LT1,ST MARGARET'S HOSPITAL,3. Mixed service hospital,7. Leased from NHS Property Services,2. Leased and fully serviced by the landlord,CM16 6TN,963609.00,0.00,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,5336.00,5336.00,100.00,12985.00,Not Applicable,Not Applicable,3666.00,1670.00,0.00,0.00,0.00,375.00,0.00,0.00,295.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,35.00,0.00,0.00,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0.00,550.00,5.00,0.00,0.00,0.00,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
R1L,ESSEX PARTNERSHIP UNIVERSITY NHS FOUNDATION TRUST,MIDLANDS AND EAST OF ENGLAND COMMISSIONING REGION,ACUTE - MULTI-SERVICE,R1LTH,SAFFRON WALDEN COMMUNITY HOSPITAL,3. Mixed service hospital,7. Leased from NHS Property Services,2. Leased and fully serviced by the landlord,CB11 3HY,691822.00,0.00,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,3765.00,3765.00,100.00,8962.00,Not Applicable,Not Applicable,2629.00,1136.00,0.00,0.00,0.00,0.00,0.00,0.00,345.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.00,0.00,0.00,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0.00,124.00,5.00,0.00,0.00,0.00,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
R1L,ESSEX PARTNERSHIP UNIVERSITY NHS FOUNDATION TRUST,MIDLANDS AND EAST OF ENGLAND COMMISSIONING REGION,ACUTE - MULTI-SERVICE,R1LX1,"THE ST. AUBYN'S CENTRE, COLCHESTER",4. Mental Health (including Specialist services),1. Freehold,,CO4 5HG,716530.00,Not Applicable,182398.00,3714.00,7976.00,32386.00,114894.00,4140.00,4140.00,100.00,10475.00,0.80,0.38,3789.00,351.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,26.00,0.00,1.00,0.00,38000.00,70000.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,47298.00,0.00,83826.00,0.00,0.00,0.00,0.00,460345.00,0.00,0.00,0.00,4500.00,828.00,1426.00,333.00,3.03,514.00,0.09,2998.00,27.30,830.00,1.03,0.00,38.00,2.00,0.00,0.00,0.00,No,186591.00,7.13,55210.00,27375.00,6.05,0.00,0.00,0.00,7094.00,19090.00,1. Full Service – Contracted,No,0.00,0.00
R1L,ESSEX PARTNERSHIP UNIVERSITY NHS FOUNDATION TRUST,MIDLANDS AND EAST OF ENGLAND COMMISSIONING REGION,ACUTE - MULTI-SERVICE,R1LX3,"WOOD LEA CLINIC, BEDFORD",5. Learning Disabilities,1. Freehold,,MK43 8HJ,148247.00,Not Applicable,37737.00,768.00,1650.00,6700.00,23771.00,668.00,668.00,100.00,1536.00,0.12,0.05,668.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.00,0.00,0.00,0.00,10000.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,45539.00,270915.00,294857.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3285.00,215.00,1220.00,401.00,1.29,161.00,0.21,842.00,4.10,1493.00,7.02,0.00,15.00,1.00,0.00,0.00,0.00,No,25924.00,0.88,19447.00,10950.00,5.33,0.00,0.00,0.00,3890.00,9950.00,1. Full Service – Contracted,No,0.00,0.00
R1L,ESSEX PARTNERSHIP UNIVERSITY NHS FOUNDATION TRUST,MIDLANDS AND EAST OF ENGLAND COMMISSIONING REGION,ACUTE - MULTI-SERVICE,R1LY4,"LANDERMERE CENTRE MENTAL HEALTH WARDS, CLACTON-ON-SEA",4. Mental Health (including Specialist services),1. Freehold,,CO15 1LH,321203.00,Not Applicable,81764.00,1664.00,3575.00,14518.00,51504.00,1702.00,1702.00,100.00,4702.00,0.30,0.11,1528.00,174.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.00,23.00,0.00,0.00,8500.00,32000.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,28731.00,5123.00,486649.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4908.00,409.00,1982.00,2180.00,7.65,181.00,0.08,4586.00,41.85,996.00,1.58,0.00,0.00,0.00,0.00,0.00,0.00,No,142271.00,5.93,64044.00,31755.00,6.05,0.00,0.00,0.00,17166.00,43420.00,1. Full Service – Contracted,No,0.00,0.00
R1L,ESSEX PARTNERSHIP UNIVERSITY NHS FOUNDATION TRUST,MIDLANDS AND EAST OF ENGLAND COMMISSIONING REGION,ACUTE - MULTI-SERVICE,R1LY5,"MOUNTNESSING COURT, BILLERICAY",4. Mental Health (including Specialist services),1. Freehold,,CM12 0EH,24707.00,Not Applicable,6289.00,128.00,275.00,1116.00,3961.00,1314.00,1314.00,100.00,3712.00,0.15,0.04,1020.00,294.00,0.00,0.00,0.00,0.00,0.00,0.00,294.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,22.00,0.00,0.00,0.00,37000.00,60000.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,27141.00,84522.00,341990.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7829.00,1817.00,2233.00,3669.00,30.05,913.00,0.23,644.00,5.17,1154.00,1.47,0.00,15.00,1.00,0.00,0.00,0.00,No,98982.00,3.36,48585.00,24090.00,6.05,0.00,0.00,0.00,19892.00,43728.00,1. Full Service – Contracted,No,0.00,0.00
R1L,ESSEX PARTNERSHIP UNIVERSITY NHS FOUNDATION TRUST,MIDLANDS AND EAST OF ENGLAND COMMISSIONING REGION,ACUTE - MULTI-SERVICE,R1LY9,"BASILDON MENTAL HEALTH UNIT, BASILDON",4. Mental Health (including Specialist services),4. SLA/lease from NHS,1. Leased and fully serviced by the Trust,SS16 5NL,1185980.00,0.00,301901.00,6147.00,13202.00,53605.00,190170.00,6537.00,6537.00,100.00,18630.00,Not Applicable,Not Applicable,5737.00,800.00,0.00,0.00,0.00,200.00,0.00,100.00,300.00,200.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,55.00,0.00,0.00,0.00,246000.00,445000.00,56000.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,202489.00,1128853.00,2483014.00,450.00,0.00,8100.00,0.00,0.00,0.00,0.00,0.00,14424.00,12607.00,9238.00,1423.00,3.28,1792.00,0.66,7615.00,67.86,5723.00,63.84,0.00,107.00,6.00,0.00,0.00,0.00,No,553829.00,18.80,245134.00,121545.00,6.05,0.00,0.00,0.00,100903.00,159763.00,1. Full Service – Contracted,No,63701.00,2.27
R1L,ESSEX PARTNERSHIP UNIVERSITY NHS FOUNDATION TRUST,MIDLANDS AND EAST OF ENGLAND COMMISSIONING REGION,ACUTE - MULTI-SERVICE,R1LZC,BYRON COURT - 5 HEATH CLOSE,5. Learning Disabilities,1. Freehold,,CM12 9NW,148247.00,Not Applicable,31448.00,640.00,1375.00,5583.00,19809.00,655.00,655.00,100.00,1506.00,0.12,0.05,655.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.00,0.00,0.00,0.00,20000.00,20000.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,18796.00,86221.00,141157.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1692.00,0.00,629.00,1170.00,27.20,0.00,0.00,829.00,7.21,0.00,0.00,0.00,10.00,1.00,0.00,0.00,0.00,No,43305.00,1.47,37684.00,8760.00,12.91,0.00,0.00,0.00,0.00,0.00,0. No Service,Not Applicable,0.00,0.00
RA2,ROYAL SURREY COUNTY HOSPITAL NHS FOUNDATION TRUST,SOUTH OF ENGLAND COMMISSIONING REGION,ACUTE - MEDIUM,RA201,ROYAL SURREY COUNTY HOSPITAL,1. General acute hospital,1. Freehold,,GU2  7XX,8834473.00,Not Applicable,2056447.00,100376.00,426284.00,0.00,3791250.00,68952.00,68566.00,99.44,214611.00,17.49,2.37,39759.00,8269.00,37.00,1166.00,703.00,814.00,322.00,190.00,137.00,852.00,0.00,382.00,623561.00,0.00,0.00,0.00,0.00,81.00,5.00,23.00,0.00,4917790.00,1004109.00,1195465.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2255700.00,0.00,22401386.00,33263.00,0.00,0.00,0.00,14171660.00,0.00,0.00,0.00,237139.00,180426.00,210532.00,0.00,0.00,86741.00,118.96,34840.00,180.90,332215.00,791.04,278019.00,1749.00,73.00,0.00,1.50,0.10,Yes,3287962.00,100.00,1993209.00,530850.00,11.26,42.00,134.40,67.20,494905.00,2063363.00,1. Full Service – Contracted,No,1289032.00,37.00
RA3,WESTON AREA HEALTH NHS TRUST,SOUTH OF ENGLAND COMMISSIONING REGION,ACUTE - SMALL,AGGRE,AGGREGATE SITE,Aggregate Site,,,BS23 4TQ,0.00,0.00,15352.00,1608.00,0.00,0.00,0.00,1145.00,1145.00,100.00,2748.00,0.40,0.00,492.00,653.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4000.00,10000.00,57950.00,22000.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,12464.00,44970.00,156144.00,0.00,0.00,0.00,0.00,0.00,50772.00,0.00,0.00,624.00,841.00,484.00,578.00,1.61,0.00,0.00,349.00,0.76,0.00,0.00,0.00,51.00,3.00,0.00,0.00,0.10,No,12737.00,0.80,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0. No Service,Not Applicable,0.00,0.00
RA3,WESTON AREA HEALTH NHS TRUST,SOUTH OF ENGLAND COMMISSIONING REGION,ACUTE - SMALL,RA301,WESTON GENERAL HOSPITAL,1. General acute hospital,1. Freehold,,BS23 4TQ,642415.00,Not Applicable,817550.00,26975.00,408506.00,0.00,1255979.00,31395.00,31181.00,99.14,73462.00,13.11,6.28,No Data Provided,No Data Provided,619.00,895.00,0.00,620.00,173.00,251.00,2668.00,825.00,0.00,13.00,90000.00,0.00,0.00,0.00,21.43,38.00,18.00,1.00,12500.00,164900.00,5093800.00,541740.00,1.00,987000.00,70.00,151505.00,49644.00,90000.00,0.00,0.00,655759.00,3663413.00,1420958.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,42977.00,68530.00,49951.00,30994.00,193.34,53710.00,103.29,26439.00,106.48,0.00,0.00,18766.00,765.00,54.00,0.00,2.15,0.10,No,1441925.00,50.31,913279.00,291282.00,9.41,0.00,85.00,29.00,343181.00,1247646.00,1. Full Service – Contracted,No,589794.00,21.35
RA4,YEOVIL DISTRICT HOSPITAL NHS FOUNDATION TRUST,SOUTH OF ENGLAND COMMISSIONING REGION,ACUTE - SMALL,RA430,YEOVIL DISTRICT HOSPITAL,1. General acute hospital,1. Freehold,,BA21 4AT,5935829.00,Not Applicable,1613114.00,31960.00,1158427.00,8798.00,1400681.00,55103.00,41309.00,100.00,116830.00,4.07,0.00,25843.00,14645.00,441.00,381.00,535.00,69.00,127.00,144.00,1267.00,902.00,0.00,132.00,54205.00,0.00,0.00,0.00,0.00,57.00,42.00,1.00,0.00,4659845.00,329101.00,625850.00,2.00,557000.00,64.00,21852171.00,4789000.00,4414237.00,0.00,0.00,883427.00,1580286.00,26999161.00,132146.00,0.00,0.00,0.00,152484.00,0.00,0.00,0.00,90747.00,70617.00,51781.00,18872.00,99.57,23261.00,39.78,25557.00,182.28,82945.00,281.88,-436415.00,991.00,30.00,2.00,2.00,0.48,Yes,1691052.00,60.94,1438093.00,310809.00,13.88,5.70,32.01,12.18,316320.00,1308404.00,1. Full Service – Contracted,No,726358.00,27.35
RA7,UNIVERSITY HOSPITALS BRISTOL NHS FOUNDATION TRUST,SOUTH OF ENGLAND COMMISSIONING REGION,ACUTE - TEACHING,AGGRE,AGGREGATE SITE,Aggregate Site,,,BS1 3NU,206634.00,0.00,47749.00,1872.00,25412.00,1464.00,13406.00,2968.00,2692.00,100.00,10329.00,0.16,0.00,2323.00,369.00,0.00,0.00,0.00,0.00,0.00,18.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,155000.00,40000.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,37494.00,154797.00,443549.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1965.00,2668.00,1575.00,729.00,2.60,1367.00,1.14,477.00,3.30,165.00,0.40,0.00,12.00,2.00,0.00,1.45,0.42,No,84091.00,3.79,0.00,0.00,0.00,0.00,0.00,0.00,605.00,2068.00,1. Full Service – Contracted,No,0.00,0.00
RA7,UNIVERSITY HOSPITALS BRISTOL NHS FOUNDATION TRUST,SOUTH OF ENGLAND COMMISSIONING REGION,ACUTE - TEACHING,RA701,BRISTOL ROYAL INFIRMARY,1. General acute hospital,1. Freehold,,BS2  8HW,25433240.00,Not Applicable,4902269.00,29837.00,2515829.00,59677.00,4069527.00,181758.00,172959.00,100.00,681055.00,10.03,0.20,106549.00,65536.00,0.00,408.00,1255.00,6755.00,183.00,612.00,4216.00,428.00,3362.00,1128.00,379558.00,0.00,0.00,1.16,0.00,234.00,73.00,7.00,2463500.00,8768055.00,4531000.00,5386629.00,1.00,991000.00,76.00,20375698.00,8905633.00,6661090.00,0.00,0.00,3673489.00,23266808.00,56964168.00,727117.00,0.00,0.00,0.00,0.00,42964.00,0.00,0.00,233452.00,228198.00,207952.00,313276.00,1424.47,209138.00,281.66,25917.00,327.08,95205.00,219.90,0.00,1561.00,30.00,2.00,1.45,0.42,No,7829661.00,320.82,3707402.00,953272.00,11.16,0.84,88.83,24.71,1184411.00,3490660.00,1. Full Service – Contracted,No,3223339.00,118.83
RA7,UNIVERSITY HOSPITALS BRISTOL NHS FOUNDATION TRUST,SOUTH OF ENGLAND COMMISSIONING REGION,ACUTE - TEACHING,RA773,SOUTH BRISTOL COMMUNITY HOSPITAL,7. Community hospital (with inpatient beds),6. Local Investment Finance Trust (LIFT),1. Leased and fully serviced by the Trust,BS14 0DE,4155240.00,0.00,0.00,0.00,103247.00,0.00,327320.00,10318.00,10208.00,0.00,45408.00,0.00,0.00,8103.00,2105.00,0.00,0.00,40.00,0.00,0.00,36.00,237.00,60.00,0.00,0.00,0.00,0.00,0.00,0.03,0.00,28.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,30000.00,91.00,507070.00,324693.00,137586.00,0.00,0.00,299219.00,1773192.00,1932799.00,727117.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,17829.00,31325.00,16807.00,7870.00,23.90,5550.00,23.04,7247.00,8.58,31729.00,80.61,0.00,257.00,15.00,0.00,1.33,0.30,No,436935.00,19.00,264581.00,65700.00,12.08,0.00,21.20,25.00,169219.00,325393.00,1. Full Service – Contracted,No,198568.00,5.53
RA9,TORBAY AND SOUTH DEVON HEALTH CARE NHS FOUNDATION TRUST,SOUTH OF ENGLAND COMMISSIONING REGION,ACUTE - MEDIUM,AGGRE,AGGREGATE SITE,Aggregate Site,,,TQ2 7AA,2628592.00,0.00,422856.00,6585.00,39636.00,1584.00,211496.00,20245.00,19068.00,51.59,46868.00,1.99,0.00,7934.00,11134.00,0.00,0.00,19.00,167.00,0.00,865.00,7672.00,0.00,0.00,0.00,0.00,1.14,22.71,8.94,0.25,0.00,0.00,0.00,157000.00,151000.00,22000.00,19000.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,314049.00,1012041.00,1962456.00,14600.00,0.00,0.00,0.00,330990.00,0.00,0.00,0.00,29146.00,40250.00,13345.00,919.00,3.60,0.00,0.00,13688.00,92.00,18928.00,87.02,-60876.00,417.00,30.00,0.00,0.00,0.06,No,498603.00,17.58,0.00,0.00,0.00,0.00,0.00,0.00,3826.00,7649.00,1. Full Service – Contracted,No,9766.00,1.60
RA9,TORBAY AND SOUTH DEVON HEALTH CARE NHS FOUNDATION TRUST,SOUTH OF ENGLAND COMMISSIONING REGION,ACUTE - MEDIUM,RA901,TORBAY DISTRICT GENERAL HOSPITAL,1. General acute hospital,1. Freehold,,TQ2  7AA,5772663.00,Not Applicable,2260680.00,127412.00,2425840.00,218453.00,3343399.00,73413.00,71415.00,97.00,158378.00,18.97,0.66,41071.00,30096.00,0.00,1848.00,715.00,983.00,194.00,303.00,8459.00,1605.00,2662.00,248.00,120753.00,13.38,18.93,1.72,0.00,64.00,58.00,8.00,2310000.00,13770000.00,7801000.00,8132000.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2244338.00,11153059.00,20160074.00,24411.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,188945.00,260926.00,108270.00,30855.00,121.00,0.00,0.00,76261.00,638.00,227221.00,822.80,-849279.00,1722.00,97.00,3.00,1.00,0.06,No,4003657.00,145.48,1823306.00,419005.00,11.60,0.00,0.00,0.00,875482.00,1907135.00,1. Full Service – Contracted,No,1300784.00,51.79
RA9,TORBAY AND SOUTH DEVON HEALTH CARE NHS FOUNDATION TRUST,SOUTH OF ENGLAND COMMISSIONING REGION,ACUTE - MEDIUM,RA954,BRIXHAM HOSPITAL,7. Community hospital (with inpatient beds),1. Freehold,,TQ5  9HW,159491.00,Not Applicable,67557.00,9739.00,7297.00,99.00,32467.00,2421.00,2421.00,100.00,5859.00,1.45,0.00,2087.00,334.00,0.00,0.00,0.00,0.00,0.00,14.00,80.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.00,0.00,0.00,5000.00,14000.00,6000.00,7000.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,50271.00,0.00,577051.00,0.00,0.00,0.00,0.00,178463.00,0.00,0.00,0.00,2612.00,3606.00,1894.00,1619.00,6.35,0.00,0.00,1320.00,8.70,3656.00,17.72,-4522.00,60.00,3.00,0.00,0.00,0.06,No,137323.00,4.91,101235.00,17816.00,17.05,0.00,0.00,0.00,20255.00,43804.00,1. Full Service – Contracted,No,15258.00,0.61
RA9,TORBAY AND SOUTH DEVON HEALTH CARE NHS FOUNDATION TRUST,SOUTH OF ENGLAND COMMISSIONING REGION,ACUTE - MEDIUM,RA956,DAWLISH HOSPITAL,7. Community hospital (with inpatient beds),2. Whole site - Private Finance Initiative (PFI),,EX7  9DH,702710.00,Not Applicable,95575.00,3000.00,10396.00,99.00,3968.00,2111.00,2111.00,100.00,5160.00,0.37,0.00,1713.00,398.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,44905.00,0.00,401443.00,8000.00,0.00,0.00,0.00,214435.00,0.00,0.00,0.00,1626.00,2246.00,1323.00,1400.00,5.49,0.00,0.00,1177.00,7.51,3856.00,18.39,-1044.00,11.00,2.00,0.00,0.00,0.06,No,80000.00,3.95,100000.00,8202.00,18.29,0.00,0.00,0.00,19032.00,41220.00,1. Full Service – Contracted,No,20509.00,1.01
RA9,TORBAY AND SOUTH DEVON HEALTH CARE NHS FOUNDATION TRUST,SOUTH OF ENGLAND COMMISSIONING REGION,ACUTE - MEDIUM,RA957,NEWTON ABBOT HOSPITAL,7. Community hospital (with inpatient beds),2. Whole site - Private Finance Initiative (PFI),,TQ12 4PT,2738452.00,Not Applicable,387172.00,18632.00,74241.00,99.00,33129.00,7863.00,7843.00,100.00,18779.00,2.55,0.00,7026.00,798.00,0.00,0.00,0.00,0.00,0.00,0.00,170.00,0.00,0.00,20.00,5088.00,0.00,0.00,0.00,0.00,32.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,105000.00,90.00,1622646.00,774234.00,363131.00,0.00,0.00,171054.00,1069710.00,2298150.00,10000.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,18632.00,25730.00,7108.00,3381.00,13.26,0.00,0.00,4531.00,29.37,18474.00,63.15,-89579.00,173.00,12.00,0.00,1.00,0.06,No,416284.00,15.11,303561.00,68144.00,13.36,0.00,0.00,0.00,85851.00,185935.00,1. Full Service – Contracted,No,64262.00,2.54
RA9,TORBAY AND SOUTH DEVON HEALTH CARE NHS FOUNDATION TRUST,SOUTH OF ENGLAND COMMISSIONING REGION,ACUTE - MEDIUM,RA979,TOTNES HOSPITAL,7. Community hospital (with inpatient beds),1. Freehold,,TQ9  5GH,223087.00,Not Applicable,77249.00,2619.00,9249.00,99.00,11049.00,3590.00,3590.00,100.00,8774.00,0.39,0.00,1813.00,1777.00,0.00,0.00,0.00,0.00,0.00,4.00,401.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00,0.00,0.00,0.00,30000.00,6000.00,2000.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,53251.00,0.00,629473.00,0.00,0.00,0.00,0.00,271585.00,0.00,0.00,0.00,3522.00,4864.00,1614.00,1002.00,3.93,0.00,0.00,1856.00,12.10,2455.00,12.31,-24571.00,57.00,1.00,0.00,1.00,0.06,No,177074.00,6.45,112110.00,17201.00,19.55,0.00,0.00,0.00,20724.00,44883.00,1. Full Service – Contracted,No,13283.00,0.53
RAE,BRADFORD TEACHING HOSPITALS NHS FOUNDATION TRUST,NORTH OF ENGLAND COMMISSIONING REGION,ACUTE - TEACHING,AGGRE,AGGREGATE SITE,Aggregate Site,,,BD9 6RJ,641574.00,0.00,0.00,0.00,0.00,0.00,0.00,3248.00,3248.00,100.00,7794.00,0.00,0.00,3248.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,748.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,No,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0. No Service,Not Applicable,0.00,0.00
RAE,BRADFORD TEACHING HOSPITALS NHS FOUNDATION TRUST,NORTH OF ENGLAND COMMISSIONING REGION,ACUTE - TEACHING,RAE01,BRADFORD ROYAL INFIRMARY,1. General acute hospital,1. Freehold,,BD9  6RJ,5724948.00,Not Applicable,2816543.00,170552.00,1649262.00,366646.00,3701581.00,105290.00,104684.00,99.33,244622.00,20.00,0.00,57335.00,47349.00,573.00,919.00,240.00,28.00,693.00,1441.00,6739.00,178.00,3811.00,540.00,298700.00,4.49,8.17,0.41,0.00,125.00,81.00,12.00,0.00,892798.00,5728388.00,7143637.00,4.00,659000.00,74.00,12542415.00,5469614.00,3866851.00,0.00,0.00,2198415.00,8942087.00,35081072.00,483248.00,0.00,0.00,0.00,0.00,0.00,0.00,52609.00,135392.00,135029.00,135598.00,93643.00,264.00,80653.00,218.00,72409.00,536.00,101816.00,521.00,892767.00,1970.00,54.00,2.00,1.17,0.19,No,4284368.00,150.48,3189430.00,829111.00,11.54,23.10,819.10,49.20,1071888.00,3020970.00,1. Full Service – Contracted,No,2389793.00,96.16
