Organisation Code,Organisation Name,Commissioning Region,Organisation Type,Site Code,Site Name,Site Type,Gross internal site floor area (m²),Occupied floor area (m²),NHS estate occupied floor area (%),Site heated volume (m³),Site footprint (m²),Site land area (Hectare),Patient occupied floor area (m²),Non-patient occupied floor area (m²),Not functionally suitable - occupied floor area (%),Not functionally suitable - patient occupied floor area (%),Un-utilised space (%),Available beds (No.),Occupied beds (No.),Single bedrooms for patients with en-suite facilities (No.),Single bedrooms for patients without en-suite facilities (No.),Age profile - 2005 to present (%),Age profile - 1995 to 2004 (%),Age profile - 1985 to 1994 (%),Age profile - 1975 to 1984 (%),Age profile - 1965 to 1974 (%),Age profile - 1955 to 1964 (%),Age profile - 1948 to 1954 (%),Age profile - pre 1948 (%),Age profile - total (must equal 100%) (%),Cost to eradicate high risk backlog (£),Cost to eradicate significant risk backlog (£),Cost to eradicate moderate risk backlog (£),Cost to eradicate low risk backlog (£),Risk adjusted backlog cost (£),Number of CHP units operated on the site (No.),Total full load rating of the electrical generator plant (kW),Total fossil energy input to the CHP system/s (kWh),Total thermal energy output of the CHP system/s (kWh),Total electrical energy output of the CHP system/s (kWh),Total exported electricity for the site (kWh),Total exported thermal energy for the site (kWh),Electricity consumed - utility (kWh),Gas consumed - utility (kWh),Oil consumed - utility (kWh),Coal consumed - utility (kWh),Electricity consumed - local (kWh),Steam consumed - local (kWh),Hot water consumed - local (kWh),Electricity consumed - renewable (kWh),Non-fossil fuel consumed - renewable (kWh),"Total energy cost (all energy supplies, utility, local and renewable) (£)",Water volume (including borehole) (m³),Water and sewage cost (£),High temperature disposal waste weight (Tonnes),Total waste cost (£),Non burn treatment (alternative treatment plant) disposal waste weight (Tonnes),Landfill disposal waste weight (Tonnes),Waste electrical and electronic equipment (WEEE) weight (Tonnes),Preparing for re-use volume (Tonnes),Other recovery volume (Tonnes),Waste recycling volume (Tonnes),"Waste recycling, recovery and preparing for re-use cost (£)",Patient/visitor concession scheme provided (Yes/No/None),Total parking spaces available (No.),Designated parking spaces available for patients/visitors (No.),Designated disabled parking spaces (No.),Designated parking spaces available for staff (No.),Average fee charged per hour for patient/visitor parking (£),Average fee charged per hour for Staff parking (£),Do you charge for disabled parking (Yes/No/None),Cost of feeding one in-patient per day (in-patient meal day) (£),Ward food waste - unserved meals (%),Total in-patient main meals requested (No.),Gross cost of in-patient services (£)
RDR,SUSSEX COMMUNITY NHS TRUST,SOUTH OF ENGLAND COMMISSIONING REGION,COMMUNITY,RDR1H,SALVINGTON LODGE,COMMUNITY HOSPITAL,2028.00,2028.00,100.00,4640.00,2028.00,0.20,1337.00,460.00,0.00,0.00,0.00,34.00,33.00,34.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,450.00,2750.00,3720.00,1650.00,3307.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,190681.00,283190.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,24381.00,1465.00,4953.00,2.02,5722.00,3.86,2.17,0.00,0.00,12.61,2.08,2530.00,No,15.00,6.00,1.00,8.00,0.00,0.00,No,9.11,8.50,52000.00,158000.00
RDR,SUSSEX COMMUNITY NHS TRUST,SOUTH OF ENGLAND COMMISSIONING REGION,COMMUNITY,RDR2F,MIDHURST COMMUNITY HOSPITAL,COMMUNITY HOSPITAL,959.00,959.00,0.00,2494.00,959.00,0.10,603.00,356.00,0.00,0.00,0.00,17.00,16.00,0.00,2.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,84891.00,325075.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,14197.00,831.00,2339.00,3.33,6175.00,0.00,18.99,0.00,0.00,0.00,2.71,593.00,No,24.00,0.00,4.00,0.00,0.00,0.00,No,11.42,9.00,18615.00,70860.00
RDU,FRIMLEY PARK HOSPITAL NHS FOUNDATION TRUST,SOUTH OF ENGLAND COMMISSIONING REGION,ACUTE - MEDIUM,RDU01,FRIMLEY PARK,GENERAL ACUTE HOSPITAL,68391.00,68391.00,98.84,160707.00,39448.00,10.28,42235.00,37801.00,4.00,0.00,0.00,639.00,528.00,100.00,39.00,14.30,30.78,1.58,0.93,52.41,0.00,0.00,0.00,100.00,0.00,2408858.00,3485766.00,1094495.00,2642871.00,1.00,1370.00,21737086.00,6660225.00,7879188.00,434536.00,0.00,3632431.00,39453960.00,0.00,0.00,0.00,0.00,0.00,435124.00,0.00,1703970.00,106493.00,175281.00,119.25,405963.00,579.47,53.85,4.26,0.00,288.18,426.50,65913.00,Yes,1742.00,461.00,60.00,1281.00,1.50,0.05,No,9.53,4.70,686458.00,1923983.00
RDU,FRIMLEY PARK HOSPITAL NHS FOUNDATION TRUST,SOUTH OF ENGLAND COMMISSIONING REGION,ACUTE - MEDIUM,RDU04,ALDERSHOT NHS OUTPATIENTS,COMMUNITY HOSPITAL,1668.00,1367.00,0.00,4076.00,590.00,2.23,1209.00,157.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,224580.00,250910.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,38596.00,734.00,1780.00,0.19,2882.00,0.89,0.00,0.00,0.00,0.97,0.52,443.00,Yes,217.00,145.00,24.00,50.00,0.50,0.11,No,0.00,0.00,0.00,0.00
RDU,FRIMLEY PARK HOSPITAL NHS FOUNDATION TRUST,SOUTH OF ENGLAND COMMISSIONING REGION,ACUTE - MEDIUM,RDU07,"ALDERSHOT PHARMACY RE-PACK UNIT, 10 HOLDER ROAD",SUPPORT FACILITY,977.00,977.00,0.00,2310.00,516.00,0.06,0.00,976.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,93633.00,41188.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,19479.00,359.00,743.00,0.00,1087.00,0.00,11.42,0.00,0.00,0.00,4.06,352.00,No,10.00,0.00,1.00,10.00,0.00,0.00,No,0.00,0.00,0.00,0.00
RDU,FRIMLEY PARK HOSPITAL NHS FOUNDATION TRUST,SOUTH OF ENGLAND COMMISSIONING REGION,ACUTE - MEDIUM,RDU14,FRIMLEY CHILDREN'S CENTRE CHURCH ROAD,TREATMENT CENTRE,2564.00,0.00,100.00,5543.00,1039.00,0.56,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,511468.00,0.00,0.00,0.00,0.00,0.00,32258.00,0.00,27766.00,523.00,1798.00,0.00,1473.00,0.00,4.20,0.00,0.00,0.00,0.41,84.00,No,60.00,0.00,4.00,0.00,0.00,0.00,No,0.00,0.00,0.00,0.00
RDY,DORSET HEALTHCARE NHS FOUNDATION TRUST,SOUTH OF ENGLAND COMMISSIONING REGION,MENTAL HEALTH AND LEARNING DISABILITY,AGGRE,AGGREGATE SITE,AGGREGATE SITE,39808.00,39808.00,100.00,95539.00,27750.00,7.90,25104.00,14704.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,17.00,21.00,11.00,14.00,4.00,5.00,13.00,15.00,100.00,0.00,5272.00,12288.00,292979.00,13651.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1394782.00,3024644.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,376812.00,9872.00,46897.00,4.77,18041.00,19.11,7.88,0.00,0.00,0.00,28.05,703.00,No,730.00,12.00,31.00,0.00,0.00,0.00,No,0.00,0.00,0.00,0.00
RDY,DORSET HEALTHCARE NHS FOUNDATION TRUST,SOUTH OF ENGLAND COMMISSIONING REGION,MENTAL HEALTH AND LEARNING DISABILITY,RDY02,KINGS PARK HOSPITAL,SHORT TERM NON-ACUTE HOSPITAL,5021.00,1999.00,100.00,10816.00,4292.00,1.70,750.00,1249.00,0.00,0.00,0.00,53.00,35.00,1.00,15.00,0.00,0.00,21.00,10.00,0.00,12.00,9.60,47.40,100.00,0.00,1928.00,14450.00,203508.00,5829.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,312677.00,861494.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,65871.00,2348.00,7806.00,0.00,6817.00,0.00,79.86,0.00,0.00,0.00,0.00,0.00,No,95.00,3.00,3.00,0.00,0.00,0.00,No,14.47,12.00,6105.00,88352.00
RDY,DORSET HEALTHCARE NHS FOUNDATION TRUST,SOUTH OF ENGLAND COMMISSIONING REGION,MENTAL HEALTH AND LEARNING DISABILITY,RDY10,ST ANNS HOSPITAL,MULTI-SERVICE HOSPITAL,11416.00,11416.00,100.00,23152.00,4983.00,4.30,9224.00,1492.00,0.00,0.00,0.00,91.00,87.00,30.00,29.00,0.00,4.20,43.10,0.00,0.00,19.40,2.10,31.20,100.00,0.00,141603.00,500.00,96638.00,142101.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1197298.00,2321684.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,193350.00,13713.00,50854.00,4.49,14502.00,1.58,159.83,0.00,0.00,0.00,0.40,1950.00,No,113.00,4.00,4.00,0.00,0.00,0.00,No,11.30,12.00,106212.00,400201.00
RDY,DORSET HEALTHCARE NHS FOUNDATION TRUST,SOUTH OF ENGLAND COMMISSIONING REGION,MENTAL HEALTH AND LEARNING DISABILITY,RDY12,HERBERT HOSPITAL,SHORT TERM NON-ACUTE HOSPITAL,3921.00,3921.00,100.00,9616.00,2519.00,1.80,956.00,2965.00,0.00,0.00,0.00,48.00,39.00,8.00,19.00,24.29,10.49,16.82,0.00,0.00,0.00,0.00,48.40,100.00,0.00,36473.00,3794.00,28165.00,37086.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,403965.00,894862.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,79799.00,4093.00,13169.00,0.13,5240.00,0.00,23.02,0.00,0.00,0.00,0.50,178.00,No,46.00,3.00,3.00,0.00,0.00,0.00,No,9.97,12.00,42375.00,148815.00
RDY,DORSET HEALTHCARE NHS FOUNDATION TRUST,SOUTH OF ENGLAND COMMISSIONING REGION,MENTAL HEALTH AND LEARNING DISABILITY,RDY22,ALDERNEY HOSPITAL,SHORT TERM NON-ACUTE HOSPITAL,6526.00,6526.00,100.00,15714.00,5801.00,3.27,5051.00,1376.00,0.00,0.00,0.00,81.00,68.00,0.00,21.00,0.00,0.00,65.00,0.00,15.00,0.00,0.00,20.00,100.00,0.00,4078.00,15671.00,319622.00,11806.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,505613.00,1727477.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,121258.00,11894.00,46948.00,0.24,16424.00,1.14,64.73,0.00,0.00,0.00,0.50,166.00,No,130.00,0.00,4.00,0.00,0.00,0.00,No,14.47,12.00,73266.00,353406.00
RDY,DORSET HEALTHCARE NHS FOUNDATION TRUST,SOUTH OF ENGLAND COMMISSIONING REGION,MENTAL HEALTH AND LEARNING DISABILITY,RDY38,FAIRMILE HOUSE (THE FLAGHEAD),SHORT TERM NON-ACUTE HOSPITAL,1033.00,1033.00,100.00,2493.00,675.00,0.56,533.00,500.00,0.00,0.00,0.00,10.00,9.00,8.00,2.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00,29391.00,419.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,71810.00,246627.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,18543.00,1130.00,4164.00,0.54,1862.00,0.32,4.48,0.00,0.00,0.00,1.71,258.00,No,19.00,2.00,2.00,0.00,0.00,0.00,No,13.22,12.00,10950.00,48259.00
RDY,DORSET HEALTHCARE NHS FOUNDATION TRUST,SOUTH OF ENGLAND COMMISSIONING REGION,MENTAL HEALTH AND LEARNING DISABILITY,RDYCC,FORSTON CLINIC,TREATMENT CENTRE,3864.00,3779.00,100.00,8946.00,1964.00,4.00,2264.00,1400.00,0.00,0.00,0.00,13.00,11.00,0.00,12.00,0.00,0.00,15.00,0.00,80.00,0.00,5.00,0.00,100.00,0.00,29069.00,27769.00,136650.00,31418.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,57983.00,73501.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,94552.00,3216.00,13060.00,0.12,4210.00,0.06,18.38,0.00,0.00,0.00,12.72,447.00,No,135.00,0.00,3.00,0.00,0.00,0.00,No,12.26,12.00,13140.00,53699.00
RDY,DORSET HEALTHCARE NHS FOUNDATION TRUST,SOUTH OF ENGLAND COMMISSIONING REGION,MENTAL HEALTH AND LEARNING DISABILITY,RDYEF,WEYMOUTH COMMUNITY HOSPITAL,COMMUNITY HOSPITAL,6612.00,6612.00,100.00,13362.00,2476.00,1.12,3678.00,2934.00,0.00,0.00,0.00,15.00,13.00,3.00,11.00,0.00,0.00,80.00,0.00,13.00,0.00,0.00,7.00,100.00,0.00,0.00,0.00,22502.00,629.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,880584.00,1064940.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,132794.00,2912.00,12353.00,1.50,8876.00,4.35,26.80,0.00,0.00,0.00,4.06,239.00,No,94.00,6.00,6.00,0.00,1.00,0.00,No,10.59,9.88,32850.00,115970.00
RDY,DORSET HEALTHCARE NHS FOUNDATION TRUST,SOUTH OF ENGLAND COMMISSIONING REGION,MENTAL HEALTH AND LEARNING DISABILITY,RDYEG,WESTHAVEN HOSPITAL,COMMUNITY HOSPITAL,2381.00,2381.00,100.00,5818.00,2381.00,0.65,1869.00,512.00,0.00,0.00,0.00,36.00,32.00,6.00,0.00,40.00,60.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00,6360.00,80.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,160186.00,476223.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,36419.00,3019.00,12354.00,0.05,5359.00,1.57,19.58,0.00,0.00,0.00,1.48,32.00,No,30.00,6.00,6.00,0.00,0.00,0.00,No,12.63,9.88,38325.00,43257.00
RDY,DORSET HEALTHCARE NHS FOUNDATION TRUST,SOUTH OF ENGLAND COMMISSIONING REGION,MENTAL HEALTH AND LEARNING DISABILITY,RDYEH,PORTLAND HOSPITAL,COMMUNITY HOSPITAL,1462.00,1462.00,100.00,3553.00,1087.00,2.89,1249.00,213.00,0.00,0.00,0.00,16.00,15.00,4.00,0.00,40.00,0.00,0.00,0.00,0.00,0.00,0.00,60.00,100.00,0.00,0.00,0.00,11559.00,192.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,176042.00,246643.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,33058.00,456.00,4162.00,0.33,2899.00,0.04,10.46,0.00,0.00,0.00,1.56,148.00,No,34.00,3.00,3.00,0.00,0.00,0.00,No,7.20,9.88,17520.00,42057.00
RDY,DORSET HEALTHCARE NHS FOUNDATION TRUST,SOUTH OF ENGLAND COMMISSIONING REGION,MENTAL HEALTH AND LEARNING DISABILITY,RDYEJ,BRIDPORT COMMUNITY HOSPITAL,COMMUNITY HOSPITAL,8660.00,8660.00,100.00,18186.00,2295.00,1.70,8060.00,600.00,0.00,0.00,0.00,48.00,42.00,1.00,16.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00,21332.00,9772.00,345.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,733291.00,1476562.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,141295.00,6589.00,25237.00,0.73,9630.00,5.94,31.97,0.00,0.00,0.00,8.04,498.00,No,92.00,0.00,6.00,0.00,0.00,0.00,No,12.26,12.00,45990.00,187946.00
RDY,DORSET HEALTHCARE NHS FOUNDATION TRUST,SOUTH OF ENGLAND COMMISSIONING REGION,MENTAL HEALTH AND LEARNING DISABILITY,RDYER,BLANDFORD COMMUNITY HOSPITAL,COMMUNITY HOSPITAL,6527.00,6527.00,100.00,15644.00,4099.00,0.89,6000.00,527.00,0.00,0.00,0.00,24.00,20.00,5.00,11.00,0.00,0.00,75.00,0.00,0.00,0.00,0.00,25.00,100.00,0.00,0.00,51129.00,58939.00,1375.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,443963.00,1199218.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,95610.00,3944.00,16277.00,0.49,7031.00,5.94,22.70,0.00,0.00,0.00,6.45,340.00,No,53.00,0.00,6.00,0.00,0.00,0.00,No,12.26,12.00,26280.00,107397.00
RDY,DORSET HEALTHCARE NHS FOUNDATION TRUST,SOUTH OF ENGLAND COMMISSIONING REGION,MENTAL HEALTH AND LEARNING DISABILITY,RDYEY,WESTMINSTER MEMORIAL HOSPITAL,COMMUNITY HOSPITAL,2192.00,2192.00,100.00,4778.00,1747.00,1.47,1567.00,625.00,0.00,0.00,0.00,19.00,16.00,1.00,2.00,0.00,0.00,0.00,30.00,10.00,10.00,10.00,40.00,100.00,0.00,0.00,7320.00,24179.00,629.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,146225.00,643679.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,43608.00,5802.00,13345.00,0.43,4759.00,0.21,17.26,0.00,0.00,0.00,4.10,287.00,No,53.00,4.00,4.00,0.00,0.00,0.00,No,12.26,12.00,17520.00,71598.00
RDY,DORSET HEALTHCARE NHS FOUNDATION TRUST,SOUTH OF ENGLAND COMMISSIONING REGION,MENTAL HEALTH AND LEARNING DISABILITY,RDYFC,YEATMAN HOSPITAL,COMMUNITY HOSPITAL,5946.00,5946.00,100.00,14411.00,3233.00,1.38,4488.00,1458.00,0.00,0.00,0.00,35.00,26.00,15.00,0.00,4.00,14.00,7.00,16.00,0.00,13.00,46.00,0.00,100.00,0.00,11131.00,40000.00,25058.00,12433.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,480601.00,1694550.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,118471.00,4621.00,19311.00,1.20,8205.00,1.85,23.07,0.00,0.00,0.00,13.22,623.00,No,73.00,5.00,5.00,0.00,1.00,0.00,No,9.90,10.00,37300.00,123000.00
RDY,DORSET HEALTHCARE NHS FOUNDATION TRUST,SOUTH OF ENGLAND COMMISSIONING REGION,MENTAL HEALTH AND LEARNING DISABILITY,RDYFD,WAREHAM COMMUNITY HOSPITAL,COMMUNITY HOSPITAL,1832.00,1832.00,100.00,4385.00,1056.00,0.40,1490.00,342.00,0.00,0.00,0.00,16.00,15.00,2.00,14.00,0.00,0.00,0.00,25.00,25.00,25.00,25.00,0.00,100.00,0.00,0.00,0.00,4788.00,60.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,132281.00,454573.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,33876.00,1665.00,6795.00,0.01,4785.00,0.60,16.62,0.00,0.00,0.00,1.62,129.00,No,35.00,4.00,4.00,0.00,0.00,0.00,No,19.88,14.00,16136.00,106947.00
RDY,DORSET HEALTHCARE NHS FOUNDATION TRUST,SOUTH OF ENGLAND COMMISSIONING REGION,MENTAL HEALTH AND LEARNING DISABILITY,RDYFE,WIMBORNE COMMUNITY HOSPITAL,COMMUNITY HOSPITAL,3654.00,3654.00,100.00,9135.00,3154.00,0.64,2272.00,1382.00,0.00,0.00,0.00,25.00,18.00,1.00,9.00,21.00,29.00,37.00,0.00,2.00,0.00,11.00,0.00,100.00,0.00,0.00,0.00,3129.00,46.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,373780.00,1076610.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,87307.00,2689.00,8169.00,2.66,8150.00,1.39,8.56,0.00,0.00,0.00,14.32,433.00,No,52.00,9.00,9.00,0.00,0.00,0.00,No,12.26,12.00,19710.00,80548.00
RDY,DORSET HEALTHCARE NHS FOUNDATION TRUST,SOUTH OF ENGLAND COMMISSIONING REGION,MENTAL HEALTH AND LEARNING DISABILITY,RDYFF,SWANAGE COMMUNITY HOSPITAL,COMMUNITY HOSPITAL,2133.00,2133.00,100.00,4872.00,1384.00,0.51,1832.00,301.00,0.00,0.00,12.00,15.00,13.00,3.00,0.00,0.00,0.00,25.00,15.00,10.00,0.00,0.00,50.00,100.00,0.00,0.00,0.00,19361.00,322.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,191421.00,502480.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,41171.00,1863.00,7069.00,3.56,6371.00,2.90,15.67,0.00,0.00,0.00,0.00,0.00,No,0.00,0.00,0.00,0.00,0.00,0.00,No,14.39,5.00,15128.00,72576.00
RDY,DORSET HEALTHCARE NHS FOUNDATION TRUST,SOUTH OF ENGLAND COMMISSIONING REGION,MENTAL HEALTH AND LEARNING DISABILITY,RDYFG,ST LEONARDS COMMUNITY HOSPITAL,COMMUNITY HOSPITAL,2962.00,2962.00,100.00,7270.00,2962.00,0.93,2750.00,212.00,0.00,0.00,0.00,22.00,20.00,2.00,20.00,0.00,0.00,0.00,15.00,15.00,15.00,15.00,40.00,100.00,0.00,12540.00,23340.00,6086.00,12960.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,361597.00,1100080.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,87395.00,5966.00,16686.00,0.51,7312.00,0.65,20.37,0.00,0.00,0.00,4.45,799.00,No,240.00,10.00,10.00,0.00,0.00,0.00,No,12.26,12.00,21900.00,89498.00
RDY,DORSET HEALTHCARE NHS FOUNDATION TRUST,SOUTH OF ENGLAND COMMISSIONING REGION,MENTAL HEALTH AND LEARNING DISABILITY,RDYFT,30 MAIDEN CASTLE ROAD,SPECIALIST HOSPITAL,1358.00,1358.00,100.00,3395.00,910.00,0.50,625.00,733.00,0.00,0.00,0.00,9.00,7.00,9.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,77219.00,162622.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,26343.00,889.00,3500.00,0.01,763.00,0.02,2.89,0.00,0.00,0.00,1.44,156.00,No,27.00,3.00,3.00,0.00,0.00,0.00,No,0.00,0.00,7644.00,0.00
RDY,DORSET HEALTHCARE NHS FOUNDATION TRUST,SOUTH OF ENGLAND COMMISSIONING REGION,MENTAL HEALTH AND LEARNING DISABILITY,RDYKW,"LINDEN, WEYMOUTH",LONG STAY HOSPITAL,794.00,794.00,100.00,1983.00,567.00,0.33,734.00,60.00,0.00,0.00,0.00,15.00,14.00,3.00,12.00,20.00,0.00,20.00,60.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00,21334.00,266.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,34818.00,222307.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,13289.00,994.00,4195.00,0.19,2179.00,0.00,10.67,0.00,0.00,0.00,1.15,75.00,No,16.00,2.00,2.00,0.00,0.00,0.00,No,12.63,9.88,16425.00,18539.00
RDY,DORSET HEALTHCARE NHS FOUNDATION TRUST,SOUTH OF ENGLAND COMMISSIONING REGION,MENTAL HEALTH AND LEARNING DISABILITY,RDYMH,MELSTOCK HOUSE,SHORT TERM NON-ACUTE HOSPITAL,616.00,616.00,100.00,1539.00,616.00,0.70,556.00,60.00,0.00,0.00,0.00,12.00,11.00,12.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,73400.00,112068.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,12662.00,536.00,2092.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,No,0.00,0.00,0.00,0.00,0.00,0.00,No,12.26,12.00,12045.00,49224.00
RDZ,THE ROYAL BOURNEMOUTH AND CHRISTCHURCH HOSPITALS NHS FOUNDATION TRUST,SOUTH OF ENGLAND COMMISSIONING REGION,ACUTE - MEDIUM,RDZ05,CHRISTCHURCH HOSPITAL,SHORT TERM NON-ACUTE HOSPITAL,12149.00,10703.00,100.00,42346.00,10549.00,5.43,8171.00,2253.00,0.00,0.00,22.20,55.00,50.00,0.00,13.00,0.31,9.84,1.11,62.46,3.11,0.00,0.00,23.17,100.00,0.00,1900000.00,750000.00,0.00,940000.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,837495.00,3292001.00,41382.00,0.00,0.00,0.00,0.00,0.00,0.00,205774.00,26643.00,33278.00,3.00,17214.00,7.00,0.00,0.00,0.00,37.60,11.75,1848.00,Yes,322.00,154.00,13.00,168.00,0.66,0.08,Yes,8.28,4.10,25878.00,75201.00
RDZ,THE ROYAL BOURNEMOUTH AND CHRISTCHURCH HOSPITALS NHS FOUNDATION TRUST,SOUTH OF ENGLAND COMMISSIONING REGION,ACUTE - MEDIUM,RDZ10,STERILE SERVICES DEPARTMENT,SUPPORT FACILITY,1780.00,1780.00,100.00,3522.00,1869.00,0.51,0.00,1780.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,100.00,2950000.00,0.00,0.00,0.00,2950000.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,346661.00,1941977.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,126065.00,12367.00,25449.00,0.00,616.00,0.00,0.00,0.00,0.00,1.20,0.00,0.00,Yes,17.00,0.00,0.00,17.00,0.00,0.08,No,0.00,0.00,0.00,0.00
RDZ,THE ROYAL BOURNEMOUTH AND CHRISTCHURCH HOSPITALS NHS FOUNDATION TRUST,SOUTH OF ENGLAND COMMISSIONING REGION,ACUTE - MEDIUM,RDZ20,ROYAL BOURNEMOUTH HOSPITAL,GENERAL ACUTE HOSPITAL,92027.00,91727.00,100.00,258842.00,46646.00,16.10,38969.00,47605.00,0.00,0.00,0.00,610.00,545.00,79.00,64.00,24.02,12.94,63.04,0.00,0.00,0.00,0.00,0.00,100.00,0.00,144000.00,269595.00,132700.00,164115.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11985550.00,13037400.00,76787.00,0.00,0.00,0.00,6827440.00,113680.00,0.00,1936299.00,103043.00,107857.00,90.00,264019.00,401.00,0.00,2.90,0.00,555.66,254.55,14784.00,Yes,1657.00,673.00,127.00,1399.00,0.90,0.08,Yes,8.72,3.90,646956.00,1880040.00
RE9,SOUTH TYNESIDE NHS FOUNDATION TRUST,NORTH OF ENGLAND COMMISSIONING REGION,ACUTE - SMALL,RE9 13,CLARENDON,SUPPORT FACILITY,4097.00,4097.00,100.00,10013.00,1949.00,0.99,0.00,4097.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,621816.00,282543.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,90551.00,1399.00,6263.00,5.67,2282.00,0.00,0.00,0.00,0.00,0.00,4.27,533.00,No,0.00,0.00,0.00,0.00,0.00,0.00,No,0.00,0.00,0.00,0.00
